@relation classes_predicted

@attribute var1 numeric
@attribute var2 numeric
@attribute var3 numeric
@attribute var4 numeric
@attribute var5 numeric
@attribute var6 numeric
@attribute var7 numeric
@attribute var8 numeric
@attribute var9 numeric
@attribute var10 numeric
@attribute var11 numeric
@attribute var12 numeric
@attribute var13 numeric
@attribute var14 numeric
@attribute var15 numeric
@attribute var16 numeric
@attribute var17 numeric
@attribute var18 numeric
@attribute var19 numeric
@attribute var20 numeric
@attribute var21 numeric
@attribute var22 numeric
@attribute var23 numeric
@attribute var24 numeric
@attribute var25 numeric
@attribute var26 numeric
@attribute var27 numeric
@attribute var28 numeric
@attribute var29 numeric
@attribute var30 numeric
@attribute var31 numeric
@attribute var32 numeric
@attribute var33 numeric
@attribute var34 numeric
@attribute var35 numeric
@attribute var36 numeric
@attribute var37 numeric
@attribute var38 numeric
@attribute var39 numeric
@attribute var40 numeric
@attribute var41 numeric
@attribute var42 numeric
@attribute var43 numeric
@attribute var44 numeric
@attribute var45 numeric
@attribute var46 numeric
@attribute var47 numeric
@attribute var48 numeric
@attribute var49 numeric
@attribute var50 numeric
@attribute var51 numeric
@attribute var52 numeric
@attribute var53 numeric
@attribute var54 numeric
@attribute var55 numeric
@attribute var56 numeric
@attribute var57 numeric
@attribute var58 numeric
@attribute var59 numeric
@attribute var60 numeric
@attribute var61 numeric
@attribute var62 numeric
@attribute var63 numeric
@attribute var64 numeric
@attribute var65 numeric
@attribute var66 numeric
@attribute var67 numeric
@attribute var68 numeric
@attribute var69 numeric
@attribute var70 numeric
@attribute var71 numeric
@attribute var72 numeric
@attribute var73 numeric
@attribute var74 numeric
@attribute var75 numeric
@attribute var76 numeric
@attribute var77 numeric
@attribute var78 numeric
@attribute var79 numeric
@attribute var80 numeric
@attribute var81 numeric
@attribute var82 numeric
@attribute var83 numeric
@attribute var84 numeric
@attribute var85 numeric
@attribute var86 numeric
@attribute var87 numeric
@attribute var88 numeric
@attribute var89 numeric
@attribute var90 numeric
@attribute var91 numeric
@attribute var92 numeric
@attribute var93 numeric
@attribute var94 numeric
@attribute var95 numeric
@attribute var96 numeric
@attribute var97 numeric
@attribute var98 numeric
@attribute var99 numeric
@attribute var100 numeric
@attribute var101 numeric
@attribute var102 numeric
@attribute var103 numeric
@attribute var104 numeric
@attribute var105 numeric
@attribute var106 numeric
@attribute var107 numeric
@attribute var108 numeric
@attribute var109 numeric
@attribute var110 numeric
@attribute var111 numeric
@attribute var112 numeric
@attribute predictedclass {0,1}
@attribute class {0,1}

@data
1.310604,1.647467,0.655699,0.900748,0.221443,0.825767,0.779202,0.111745,0.325206,0.142114,0.273875,0.185485,0.164973,0.126261,0.401912,0.539041,1.940663,1.894535,2.30392,1.670609,1.708973,2.458205,0.924428,1.574749,0.976474,1.765665,1.729727,1.115368,1.709805,1.41117,1.510228,1.46774,0.48218,0.773077,0.521331,0.814241,0.542007,0.668845,0.720758,0.512648,0.739601,0.544037,1.023992,0.884636,0.678931,0.893507,0.78141,0.987315,0.681396,0.53654,0.816636,0.632723,0.751982,0.934131,0.500739,0.749837,0.633687,0.892033,0.889257,0.679384,0.937255,0.678729,0.858372,0.66661,0.289764,0.292011,0.364874,0.330897,0.436008,0.473574,0.286517,0.485511,0.388222,0.577127,0.580236,0.436389,0.560481,0.424767,0.481504,0.437535,0.270437,0.253887,0.386505,0.397728,0.42535,0.371538,0.374727,0.359275,0.347485,0.40234,0.405625,0.33204,0.371289,0.310797,0.368426,0.343814,0.264183,0.242271,0.305218,0.242561,0.374726,0.28079,0.23838,0.249507,0.257567,0.264757,0.285811,0.256892,0.261572,0.266144,0.280774,0.277016,1,1
0.618629,0.228486,0.909342,0.569479,0.885244,1.034096,0.622118,0.86902,0.665459,0.80546,0.737074,0.457246,0.580071,0.461068,0.523444,0.389329,1.752814,1.317713,2.159203,1.780906,1.958805,2.465965,1.568824,1.823878,1.694,1.788146,1.915251,1.556717,1.555217,1.400135,1.346951,1.224468,1.261612,0.889253,1.406501,0.84809,1.153639,1.327936,0.586037,1.021812,0.763644,1.184906,1.001471,1.081585,1.219565,1.228692,1.045696,1.088991,0.460984,0.384315,0.640579,0.56798,0.84336,0.597781,0.578581,0.852157,0.721008,0.68762,0.740352,0.852759,0.571833,0.857643,0.59857,0.687385,0.219384,0.203512,0.305277,0.195526,0.330502,0.161488,0.26921,0.300244,0.270022,0.3145,0.293197,0.28578,0.329154,0.313099,0.391308,0.357179,0.170853,0.204366,0.256287,0.290889,0.284299,0.24038,0.271552,0.265373,0.284134,0.261744,0.264512,0.296574,0.261352,0.295986,0.299156,0.320573,0.209371,0.207645,0.199554,0.190337,0.193384,0.196519,0.175795,0.16033,0.194658,0.195157,0.200505,0.200464,0.195578,0.205695,0.209352,0.21966,0,1
0.750961,0.349808,1.156767,0.730126,1.301213,0.741539,0.816201,1.013749,0.78175,0.891678,1.029151,0.909606,0.628778,0.600977,0.373089,0.395934,1.840633,1.309026,2.022625,1.550685,1.546047,2.157105,1.006532,1.237937,0.989772,0.985989,1.345604,0.939005,0.677054,0.621699,0.818775,0.794697,0.932721,0.892629,1.26232,1.148578,0.96853,1.517323,0.815198,0.913529,0.901042,1.04484,1.321564,1.021487,1.124829,1.064439,0.982313,0.896491,0.555723,0.630273,0.781292,0.878423,0.761169,0.941373,0.644511,0.843654,0.608544,0.957406,0.982874,0.57559,0.962249,0.693804,0.846943,0.907015,0.272419,0.246795,0.342192,0.306903,0.312486,0.371191,0.297428,0.328124,0.336109,0.380571,0.403756,0.373958,0.411015,0.42142,0.427621,0.482495,0.169996,0.184056,0.242547,0.248506,0.273935,0.261276,0.245973,0.248958,0.270648,0.273848,0.282932,0.264692,0.282678,0.272366,0.301957,0.319732,0.211396,0.212511,0.195624,0.218103,0.167462,0.223484,0.219954,0.169273,0.263483,0.19483,0.252178,0.24008,0.217914,0.237589,0.240498,0.243494,0,1
3.043703,3.458124,1.562077,1.509942,1.034346,0.656284,0.75557,0.451031,0.35591,0.29169,0.755252,0.432403,0.371657,0.49511,0.580257,0.667584,5.607655,6.09866,3.674328,2.344286,2.618661,2.742709,1.097906,2.148805,1.346411,2.176602,2.149828,1.694779,2.280689,2.11876,2.406692,2.660872,1.64341,1.586044,1.33591,0.963668,1.144364,1.286783,0.833924,0.963675,0.910791,0.896799,1.03426,1.039591,0.950329,1.092942,0.995316,1.134056,0.468186,0.496336,0.447481,0.496481,0.410928,0.585108,0.373883,0.6278,0.474456,0.720907,0.565064,0.586507,0.669256,0.598328,0.686631,0.74558,0.299098,0.249757,0.295691,0.256459,0.286249,0.304816,0.2881,0.32959,0.342591,0.362852,0.573216,0.367992,0.3435,0.413782,0.392527,0.554599,0.23025,0.265241,0.271142,0.292645,0.332028,0.329347,0.253604,0.254185,0.246651,0.289871,0.343836,0.279326,0.306934,0.285533,0.27698,0.304723,0.251957,0.253869,0.258318,0.272125,0.294534,0.270503,0.239782,0.222736,0.288141,0.254592,0.282602,0.277341,0.265338,0.294063,0.282298,0.280623,0,1
0.524556,0.353651,0.819541,0.450524,0.876237,0.399455,0.393969,0.823806,0.478469,0.738907,0.409981,0.622744,0.769481,0.727977,0.7442,0.758999,0.895529,0.640404,1.27631,0.976697,1.398954,1.065546,0.933253,1.448766,1.109425,1.486857,1.296641,1.199502,1.326156,1.216711,1.680807,1.269703,1.1765,0.632813,1.6146,1.020717,1.439132,2.080128,0.875853,1.317362,1.021813,1.285699,1.878627,1.181607,1.286062,1.299616,1.25294,1.380202,0.791165,0.651332,0.972192,0.748197,0.790561,1.301033,0.757592,0.864398,1.168569,1.099665,1.647505,1.546089,1.371017,1.86296,1.570564,1.922106,0.337057,0.330592,0.519648,0.446842,0.532244,0.625518,0.413485,0.519774,0.618063,0.588347,0.738072,0.737335,0.587938,0.658597,0.647736,0.626231,0.200693,0.207008,0.223461,0.260521,0.337646,0.220426,0.223939,0.260537,0.200854,0.255307,0.231912,0.235414,0.253905,0.244215,0.250086,0.240039,0.197056,0.17857,0.15224,0.135058,0.307144,0.135262,0.104761,0.10643,0.133261,0.10807,0.133555,0.139813,0.094824,0.128909,0.121057,0.121434,1,1
0.791823,1.56771,0.32003,1.794229,0.082871,1.155765,2.11621,0.79332,2.683889,1.509223,2.3449,2.788632,2.031118,2.601905,2.089991,1.940028,4.710652,6.532443,3.058234,3.035646,2.159691,2.681613,1.920658,1.898565,2.085439,1.663289,1.936939,2.118536,1.716705,2.106455,2.038577,1.728676,1.996511,2.533444,1.40486,1.278261,1.170711,1.697862,1.014555,1.036129,1.159676,1.049548,1.555566,1.166499,1.087723,1.142199,1.319734,1.358626,0.570558,0.716334,0.610333,0.616044,0.729016,0.666146,0.60193,0.725049,0.624218,0.754707,0.751234,0.637676,0.792993,0.678299,0.731725,0.70049,0.364546,0.407314,0.464395,0.431673,0.686403,0.385764,0.394162,0.548231,0.409233,0.496667,0.405878,0.426802,0.482549,0.483946,0.531156,0.547761,0.290434,0.273629,0.393819,0.38826,0.467996,0.377637,0.318416,0.28935,0.272021,0.27854,0.318376,0.264028,0.251372,0.273993,0.265996,0.271568,0.255312,0.222879,0.259889,0.240327,0.254549,0.266111,0.21808,0.223595,0.25535,0.280411,0.313703,0.273805,0.288678,0.284027,0.301773,0.280033,0,1
0.95245,1.064604,1.442828,1.28346,1.569252,0.530863,1.029133,1.269813,0.569765,0.869611,0.350923,0.44845,0.729924,0.438467,0.477417,0.35548,0.812774,0.886007,1.449431,1.419321,1.620277,1.155464,1.436961,1.604286,1.476606,1.529639,1.200306,1.56222,1.585491,1.563494,1.470314,1.595606,0.66075,0.62865,1.001093,0.966572,0.903931,1.071928,0.82656,0.831754,0.903461,0.85582,0.800218,0.967428,1.034698,1.088966,1.254447,1.302748,0.759932,1.006401,1.036867,1.124149,0.9078,1.22079,1.175237,1.124635,1.335959,1.327387,1.413442,1.313312,1.308612,1.204507,1.280609,1.198819,0.440411,0.481478,0.581453,0.493946,0.624366,0.746148,0.376911,0.548926,0.414398,0.577209,0.587316,0.408751,0.583196,0.43807,0.44766,0.424351,0.222106,0.23849,0.312342,0.309607,0.276974,0.355054,0.27146,0.252168,0.283332,0.286567,0.333739,0.308103,0.312263,0.337082,0.338367,0.38343,0.216896,0.202535,0.186905,0.226459,0.175191,0.2332,0.200876,0.179918,0.231408,0.209908,0.237109,0.232651,0.211941,0.235522,0.239707,0.266341,0,1
0.714257,0.774335,0.538662,1.028207,0.37501,0.662052,0.904535,0.441285,0.813628,0.519527,0.749717,0.42815,0.530952,0.344801,0.517506,0.459814,0.799979,0.707028,0.944579,1.006568,0.840737,1.15974,1.121988,0.692278,1.202185,0.948478,1.173375,1.081031,1.148401,1.188402,1.307384,1.31102,0.914216,0.554999,1.227029,0.90178,1.134394,1.127069,0.655558,1.011843,0.888745,1.099289,1.093412,1.166472,1.209844,1.320409,1.324744,1.373183,0.851556,0.717956,1.08254,0.828667,0.897171,1.162428,0.621288,0.813399,0.867351,0.779143,1.071926,1.162024,0.718752,1.152261,0.648382,0.828692,0.316698,0.32231,0.389744,0.438959,0.564564,0.439925,0.460501,0.542843,0.653374,0.530929,0.565062,0.705514,0.450662,0.663847,0.404149,0.543675,0.247148,0.254152,0.311857,0.258832,0.467805,0.325034,0.227076,0.292305,0.236388,0.29328,0.323451,0.244991,0.264498,0.26743,0.250172,0.275555,0.227937,0.186585,0.242025,0.205068,0.359442,0.224145,0.181132,0.192362,0.204778,0.200218,0.230987,0.214876,0.205257,0.221348,0.215008,0.222869,0,1
3.003291,2.652898,3.365192,3.299423,3.186326,3.768848,2.604213,3.53495,2.886298,3.737657,3.600167,2.948512,3.476323,2.628541,2.838265,2.381334,5.042779,5.969491,3.549262,3.288555,2.73665,3.374266,1.925152,2.40569,1.732136,2.280525,2.569298,1.64416,2.003079,1.609873,2.097164,1.787934,2.141896,2.541339,1.628222,1.464455,1.369586,1.529132,0.921065,1.070104,0.964593,1.059273,1.462003,1.190543,1.091894,1.304349,1.150255,1.382062,0.642023,0.786979,0.503993,0.702185,0.50966,0.639603,0.830369,0.530639,1.013771,0.724381,0.899198,1.010492,0.81883,0.97593,0.891705,0.95874,0.412012,0.385413,0.431798,0.504113,0.920808,0.505439,0.537348,0.632072,0.666889,0.70776,0.623455,0.715738,0.734268,0.674871,0.672642,0.670397,0.286677,0.226347,0.501033,0.271487,0.8561,0.29169,0.244961,0.303602,0.325224,0.27749,0.302636,0.283685,0.319687,0.316224,0.349837,0.365463,0.281974,0.22319,0.279295,0.233625,0.640345,0.257928,0.233792,0.314363,0.27417,0.316567,0.268826,0.270989,0.280734,0.263882,0.264944,0.294088,0,1
2.186966,2.697567,1.579704,2.090094,1.035966,2.211104,1.662058,0.999328,1.726721,1.250333,2.266972,1.973115,1.372279,2.105264,1.790372,2.113335,5.549845,6.328626,2.846935,2.263325,1.299625,1.896854,1.452321,0.802106,1.275221,0.932097,1.568618,1.407197,0.868024,1.44689,1.233672,1.410912,1.929243,1.938193,1.530185,1.431726,1.046693,1.460093,0.918142,0.7688,0.823374,0.845231,1.035199,0.930526,1.008154,1.064207,1.158597,1.163821,0.716167,0.603749,0.837964,0.631033,0.913284,0.896397,0.545797,1.110045,0.917773,1.406505,1.120166,1.261181,1.551133,1.423827,1.413785,1.635224,0.387235,0.436968,0.614595,0.449302,0.808703,0.63222,0.392485,0.790711,0.591278,0.963854,0.822679,0.673288,0.805227,0.578586,0.698513,0.674678,0.293429,0.257178,0.45529,0.273755,0.551702,0.378044,0.262802,0.323555,0.316528,0.337542,0.354787,0.346029,0.315153,0.366197,0.300242,0.344167,0.259996,0.243382,0.248489,0.240715,0.271256,0.255327,0.217078,0.211986,0.256316,0.229629,0.252014,0.210659,0.231519,0.210668,0.237704,0.233789,1,1
