@relation classes_predicted

@attribute var1 numeric
@attribute var2 numeric
@attribute var3 numeric
@attribute var4 numeric
@attribute var5 numeric
@attribute var6 numeric
@attribute var7 numeric
@attribute var8 numeric
@attribute var9 numeric
@attribute var10 numeric
@attribute var11 numeric
@attribute var12 numeric
@attribute var13 numeric
@attribute var14 numeric
@attribute var15 numeric
@attribute var16 numeric
@attribute var17 numeric
@attribute var18 numeric
@attribute var19 numeric
@attribute var20 numeric
@attribute var21 numeric
@attribute var22 numeric
@attribute var23 numeric
@attribute var24 numeric
@attribute var25 numeric
@attribute var26 numeric
@attribute var27 numeric
@attribute var28 numeric
@attribute var29 numeric
@attribute var30 numeric
@attribute var31 numeric
@attribute var32 numeric
@attribute var33 numeric
@attribute var34 numeric
@attribute var35 numeric
@attribute var36 numeric
@attribute var37 numeric
@attribute var38 numeric
@attribute var39 numeric
@attribute var40 numeric
@attribute var41 numeric
@attribute var42 numeric
@attribute var43 numeric
@attribute var44 numeric
@attribute var45 numeric
@attribute var46 numeric
@attribute var47 numeric
@attribute var48 numeric
@attribute var49 numeric
@attribute var50 numeric
@attribute var51 numeric
@attribute var52 numeric
@attribute var53 numeric
@attribute var54 numeric
@attribute var55 numeric
@attribute var56 numeric
@attribute var57 numeric
@attribute var58 numeric
@attribute var59 numeric
@attribute var60 numeric
@attribute var61 numeric
@attribute var62 numeric
@attribute var63 numeric
@attribute var64 numeric
@attribute var65 numeric
@attribute var66 numeric
@attribute var67 numeric
@attribute var68 numeric
@attribute var69 numeric
@attribute var70 numeric
@attribute var71 numeric
@attribute var72 numeric
@attribute var73 numeric
@attribute var74 numeric
@attribute var75 numeric
@attribute var76 numeric
@attribute var77 numeric
@attribute var78 numeric
@attribute var79 numeric
@attribute var80 numeric
@attribute var81 numeric
@attribute var82 numeric
@attribute var83 numeric
@attribute var84 numeric
@attribute var85 numeric
@attribute var86 numeric
@attribute var87 numeric
@attribute var88 numeric
@attribute var89 numeric
@attribute var90 numeric
@attribute var91 numeric
@attribute var92 numeric
@attribute var93 numeric
@attribute var94 numeric
@attribute var95 numeric
@attribute var96 numeric
@attribute var97 numeric
@attribute var98 numeric
@attribute var99 numeric
@attribute var100 numeric
@attribute var101 numeric
@attribute var102 numeric
@attribute var103 numeric
@attribute var104 numeric
@attribute var105 numeric
@attribute var106 numeric
@attribute var107 numeric
@attribute var108 numeric
@attribute var109 numeric
@attribute var110 numeric
@attribute var111 numeric
@attribute var112 numeric
@attribute predictedclass {0,1}
@attribute class {0,1}

@data
0.310563,1.003763,0.998523,0.349306,1.398921,0.726777,0.256929,0.88197,0.343081,0.54297,0.467767,0.223556,0.749322,0.458358,0.643008,0.991913,1.162685,1.214603,1.490123,1.862104,1.522001,2.485367,1.782802,2.215265,1.695602,2.471364,3.501403,2.19158,2.930417,1.912632,2.600307,2.37802,0.558232,0.559747,0.856045,0.637009,0.900333,0.693166,0.587567,0.828605,0.456366,0.794307,0.785599,0.632801,0.76017,1.105503,1.077293,1.381699,0.815565,0.735,1.054166,0.946559,1.367083,1.241294,0.967027,1.940627,1.11347,1.969913,1.672722,1.41646,2.040071,2.109098,2.070485,2.240297,0.384408,0.31827,0.615412,0.587034,0.645551,0.662064,0.583075,0.601426,0.5756,0.710736,0.815963,0.642981,0.912211,0.772573,1.008933,0.925717,0.264486,0.281698,0.311854,0.26429,0.326743,0.350655,0.244195,0.307336,0.228103,0.254553,0.352805,0.244523,0.274758,0.265709,0.289634,0.328659,0.192876,0.197137,0.182677,0.189764,0.17684,0.191962,0.189743,0.212842,0.209777,0.249279,0.250657,0.235518,0.305734,0.314587,0.322514,0.404336,1,1
0.30051,0.628092,0.745746,0.2006,0.574431,0.324992,0.158635,0.682784,0.850161,0.833284,1.046469,0.955714,1.58369,1.234961,0.625553,1.053519,0.533585,0.758772,0.734734,0.580733,1.015966,0.798393,0.501716,1.16001,0.810957,1.132959,1.272982,1.082454,1.410521,1.218049,1.227237,1.143668,0.700469,0.645905,0.832545,0.697882,1.028617,0.671988,0.690117,1.091321,0.686197,1.20164,0.880245,0.740935,1.137842,0.873179,1.103243,0.913141,0.666457,0.66735,0.745059,0.834765,0.650302,0.958971,0.868651,0.794654,0.895249,0.910339,1.227716,1.021866,1.227383,1.325643,1.348155,1.789557,0.317324,0.216921,0.362951,0.358217,0.383223,0.423952,0.362632,0.462059,0.409274,0.494392,0.537244,0.530554,0.605796,0.675297,0.640844,0.673974,0.196202,0.18037,0.212926,0.240848,0.223392,0.259744,0.238851,0.23649,0.215141,0.257802,0.251153,0.223012,0.276221,0.263589,0.340138,0.289642,0.196584,0.186054,0.196857,0.182756,0.189659,0.198875,0.163289,0.18497,0.179507,0.198859,0.216139,0.196966,0.268277,0.264277,0.302273,0.299529,0,1
0.795388,2.313772,0.790779,0.286492,0.466403,0.471812,0.91723,0.314829,1.006404,0.609731,0.715131,0.842887,0.16947,0.258069,0.210786,0.167474,0.754688,1.350648,1.168275,0.281199,0.965885,0.896618,0.817998,0.901656,1.08946,1.120579,0.946163,1.003262,1.142064,1.003383,0.860924,0.622467,0.488861,0.55428,0.721633,0.713686,0.892344,1.0224,0.706853,0.943896,0.733397,0.896019,1.115819,0.768446,0.825575,0.825431,0.915279,0.909155,0.476163,0.620917,0.738171,0.688522,0.964904,0.792436,0.868977,1.523103,0.999634,1.672212,1.362986,1.225901,2.110741,1.485952,1.778976,1.463926,0.274926,0.270255,0.410935,0.366432,0.443922,0.484389,0.390387,0.508641,0.437355,0.569781,0.593759,0.500599,0.756843,0.64707,0.839305,0.71691,0.202404,0.240935,0.266366,0.274999,0.239402,0.289748,0.295187,0.22728,0.274187,0.221215,0.279238,0.28531,0.24483,0.332859,0.290247,0.347745,0.177025,0.167448,0.170879,0.165564,0.183954,0.208606,0.161939,0.19301,0.189409,0.191134,0.229976,0.208295,0.225266,0.21985,0.230406,0.239223,1,1
0.971546,0.592079,1.510061,1.202983,1.826763,2.159153,1.549886,2.384203,1.870829,2.302109,2.472688,2.037517,2.465233,2.354739,2.177591,2.163857,1.57728,1.084046,1.464387,1.18508,1.797899,1.676214,1.272369,1.7586,1.120348,1.663192,1.644123,1.196358,1.772665,1.427012,1.675366,1.339504,0.576604,0.606784,0.689648,0.719302,0.605407,0.909362,0.698913,0.81525,0.661092,0.994513,1.119198,0.862855,1.235141,1.210877,1.147284,1.605289,1.140949,1.110927,1.3689,1.518496,1.46447,1.542001,1.667596,1.582768,1.602241,1.525952,1.314455,1.607223,1.587332,2.133595,1.922098,2.35352,0.447946,0.411367,0.640055,0.491832,0.644304,0.567836,0.500945,0.494508,0.534898,0.485212,0.580898,0.566193,0.650325,0.661578,0.644157,0.798345,0.154765,0.155264,0.212991,0.226131,0.218058,0.222704,0.251214,0.19706,0.21923,0.230425,0.222267,0.230858,0.259575,0.255658,0.258881,0.28194,0.179333,0.141706,0.186986,0.185738,0.179824,0.205169,0.177057,0.174736,0.144332,0.16558,0.185558,0.152861,0.444275,0.189783,0.247516,0.25625,0,1
1.249543,1.985813,1.007984,2.007052,0.738452,1.720375,1.451754,0.807665,0.574787,0.526507,1.135167,0.55305,0.56063,0.435203,1.00264,0.545656,0.867192,0.972682,1.080343,1.240425,1.211517,1.460333,1.431672,1.708566,1.314189,1.753771,1.488689,1.391508,1.678613,1.438416,1.84745,2.070545,0.730967,0.491955,1.075753,0.764782,1.070186,1.216625,0.839591,1.230609,0.708841,1.308641,1.392927,0.721647,1.586437,0.871302,2.131379,1.119469,0.435456,0.435928,0.580239,0.660587,0.718684,0.791807,0.873148,1.19073,1.296932,1.332856,1.523296,1.653387,1.77024,2.276293,1.526449,2.378205,0.344824,0.303439,0.373496,0.415566,0.382448,0.466895,0.499007,0.482169,0.601579,0.501766,0.631583,0.6818,0.691634,0.791208,0.8483,0.853439,0.176759,0.166105,0.209973,0.213935,0.209307,0.258799,0.21738,0.259475,0.217655,0.261957,0.346752,0.269271,0.348774,0.36919,0.452155,0.487919,0.177175,0.136798,0.162297,0.123094,0.149598,0.142788,0.113437,0.156428,0.13414,0.154045,0.166002,0.160053,0.222716,0.235593,0.262697,0.313827,1,1
2.448498,1.488717,3.215959,3.006316,2.931452,3.523236,2.927062,2.934137,2.145116,2.495568,3.697774,2.100781,2.920629,1.554514,1.841089,1.479576,1.325001,1.409706,1.992009,1.812873,1.96124,2.089593,1.905681,2.03831,1.436819,2.016037,2.837874,1.79109,2.137602,2.326249,2.561644,2.929858,0.743972,0.85205,0.862737,1.203634,0.741718,1.483414,1.102427,0.843828,0.923508,0.764562,1.533874,0.828268,1.022814,0.68961,1.121971,1.065209,0.636476,0.551474,0.858348,0.739372,0.923214,1.067693,0.7799,1.32165,0.937248,1.461866,1.600328,1.173975,2.263733,1.693845,2.408055,2.17192,0.342323,0.288915,0.473664,0.371151,0.507536,0.457536,0.399075,0.598004,0.450364,0.610844,0.656394,0.496868,0.896248,0.529631,0.888316,0.579334,0.193125,0.166747,0.243351,0.184473,0.240829,0.261261,0.182966,0.215063,0.195472,0.21156,0.276089,0.231569,0.23764,0.295795,0.24356,0.345788,0.138983,0.119508,0.136006,0.142636,0.141202,0.167846,0.13874,0.164955,0.145123,0.164921,0.195982,0.182876,0.205767,0.226145,0.198042,0.276913,1,1
4.867579,4.648232,3.393015,3.688725,3.300851,3.224,3.182928,2.759045,3.065848,2.897589,3.465006,3.362723,3.026169,3.941517,3.698959,4.076563,4.084173,4.264102,3.276799,3.774638,3.049306,3.383606,3.201197,2.792746,2.753551,2.502476,3.048502,2.812307,2.228058,2.732626,2.534636,2.433267,1.688383,1.451253,1.379165,1.261857,1.260129,1.280329,1.014161,1.201963,0.865067,1.279737,1.413665,0.958289,1.566535,1.10758,1.814168,1.492068,0.597134,0.642093,0.81631,0.620236,0.840049,0.83633,0.669326,1.408245,0.8274,1.35636,1.138877,0.880804,1.717366,0.926941,1.757489,1.275751,0.386712,0.415056,0.461293,0.361278,0.485397,0.517822,0.352837,0.48906,0.348291,0.489928,0.542679,0.36121,0.516982,0.462455,0.630186,0.566527,0.20887,0.202836,0.245551,0.246966,0.23777,0.26474,0.266229,0.257891,0.295389,0.307534,0.274662,0.313566,0.345022,0.356578,0.378403,0.375083,0.262204,0.248391,0.279935,0.308191,0.272872,0.336613,0.29289,0.298787,0.301883,0.301824,0.326144,0.343867,0.549185,0.383494,0.389523,0.394327,1,1
0.654753,0.550601,1.197094,0.572026,0.966724,0.958915,0.321828,0.632256,0.318367,0.544413,0.515706,0.303415,0.432808,1.034641,1.40552,1.569421,1.955231,1.455761,2.674199,1.958555,2.512335,2.615594,1.626654,2.074596,1.785714,1.848957,2.275346,1.816914,1.683267,1.579974,1.500468,1.202512,0.570464,0.529471,0.68992,0.522098,0.669889,0.781213,0.517883,0.739531,0.762263,0.869105,0.983861,0.904505,0.998741,1.072882,1.424238,1.193234,0.568655,0.617859,0.673129,0.786277,0.602218,0.889427,0.839197,1.170695,0.831257,1.351594,1.184885,1.041686,1.658724,1.206487,1.775888,1.666553,0.271811,0.284148,0.3356,0.41221,0.376305,0.455122,0.476911,0.460938,0.463271,0.497296,0.620839,0.493347,0.601699,0.507454,0.593233,0.52157,0.203124,0.170534,0.255151,0.243841,0.244957,0.283684,0.240656,0.239126,0.204499,0.229671,0.267979,0.233935,0.289342,0.307694,0.415183,0.414026,0.202385,0.186801,0.229751,0.21086,0.246461,0.246494,0.213591,0.264701,0.234433,0.27593,0.279449,0.258277,0.327649,0.346586,0.411722,0.461981,0,1
3.949644,7.117113,3.134926,3.058838,3.210628,2.658874,3.214711,3.213041,2.888616,2.475436,2.69822,2.809392,2.865797,3.098488,1.596481,3.03404,2.187343,3.678422,2.300434,1.869019,2.559134,2.597595,1.877095,2.521263,2.245896,2.14288,2.508624,2.405181,2.175202,2.478683,1.415379,1.964749,1.236673,1.821723,1.06192,1.162128,1.013504,1.205609,0.939785,1.202993,0.79369,1.354486,1.434922,0.959521,1.439061,1.428906,0.99635,1.124473,0.702568,0.77952,0.83837,0.713382,0.891877,0.644056,0.942963,0.881007,0.746599,0.971181,0.872345,0.869629,1.265384,1.508926,1.248059,1.850791,0.531258,0.646292,0.572868,0.648955,0.499573,0.615614,0.629618,0.438044,0.476534,0.442233,0.477501,0.529424,0.437778,0.627322,0.521552,0.743013,0.219048,0.294703,0.240069,0.254957,0.237338,0.206916,0.267955,0.270637,0.228819,0.308817,0.234283,0.252546,0.325659,0.273882,0.322907,0.311384,0.218661,0.254247,0.211291,0.244087,0.203329,0.221373,0.238648,0.207498,0.221773,0.24688,0.218224,0.238521,0.485524,0.296581,0.321424,0.393344,0,1
0.441573,5.858508,0.825533,0.787375,1.084864,1.161848,0.629433,0.878522,0.597839,0.777516,1.020324,1.108557,0.833896,0.826499,0.958649,1.99645,0.550245,3.040883,1.154692,1.273483,1.343482,1.556341,0.912962,1.347669,0.605,1.199756,1.003014,0.559465,1.486002,0.636943,1.070752,1.765834,0.396776,1.283579,0.418321,0.689988,0.599394,0.795679,0.727252,0.798494,0.90451,0.934273,0.843464,0.954789,1.065516,1.08063,1.129874,1.377669,0.613146,0.860583,0.59907,0.872823,0.654138,0.804522,0.927961,1.345967,1.046866,1.461453,1.238092,1.256285,1.86159,1.355304,1.863053,1.521163,0.311568,0.441278,0.483092,0.527798,0.504079,0.504324,0.649516,0.670095,0.548267,0.691707,0.732297,0.594521,0.744214,0.681788,0.780377,0.826369,0.177559,0.25665,0.212939,0.191202,0.206317,0.196046,0.181809,0.216993,0.178772,0.23337,0.256135,0.210585,0.344164,0.285096,0.498018,0.458347,0.18292,0.228509,0.150041,0.169541,0.141846,0.167776,0.155236,0.153167,0.165764,0.185275,0.16693,0.178842,0.245612,0.266101,0.293804,0.365224,1,1
