@relation classes_predicted

@attribute var1 numeric
@attribute var2 numeric
@attribute var3 numeric
@attribute var4 numeric
@attribute var5 numeric
@attribute var6 numeric
@attribute var7 numeric
@attribute var8 numeric
@attribute var9 numeric
@attribute var10 numeric
@attribute var11 numeric
@attribute var12 numeric
@attribute var13 numeric
@attribute var14 numeric
@attribute var15 numeric
@attribute var16 numeric
@attribute var17 numeric
@attribute var18 numeric
@attribute var19 numeric
@attribute var20 numeric
@attribute var21 numeric
@attribute var22 numeric
@attribute var23 numeric
@attribute var24 numeric
@attribute var25 numeric
@attribute var26 numeric
@attribute var27 numeric
@attribute var28 numeric
@attribute var29 numeric
@attribute var30 numeric
@attribute var31 numeric
@attribute var32 numeric
@attribute var33 numeric
@attribute var34 numeric
@attribute var35 numeric
@attribute var36 numeric
@attribute var37 numeric
@attribute var38 numeric
@attribute var39 numeric
@attribute var40 numeric
@attribute var41 numeric
@attribute var42 numeric
@attribute var43 numeric
@attribute var44 numeric
@attribute var45 numeric
@attribute var46 numeric
@attribute var47 numeric
@attribute var48 numeric
@attribute var49 numeric
@attribute var50 numeric
@attribute var51 numeric
@attribute var52 numeric
@attribute var53 numeric
@attribute var54 numeric
@attribute var55 numeric
@attribute var56 numeric
@attribute var57 numeric
@attribute var58 numeric
@attribute var59 numeric
@attribute var60 numeric
@attribute var61 numeric
@attribute var62 numeric
@attribute var63 numeric
@attribute var64 numeric
@attribute var65 numeric
@attribute var66 numeric
@attribute var67 numeric
@attribute var68 numeric
@attribute var69 numeric
@attribute var70 numeric
@attribute var71 numeric
@attribute var72 numeric
@attribute var73 numeric
@attribute var74 numeric
@attribute var75 numeric
@attribute var76 numeric
@attribute var77 numeric
@attribute var78 numeric
@attribute var79 numeric
@attribute var80 numeric
@attribute var81 numeric
@attribute var82 numeric
@attribute var83 numeric
@attribute var84 numeric
@attribute var85 numeric
@attribute var86 numeric
@attribute var87 numeric
@attribute var88 numeric
@attribute var89 numeric
@attribute var90 numeric
@attribute var91 numeric
@attribute var92 numeric
@attribute var93 numeric
@attribute var94 numeric
@attribute var95 numeric
@attribute var96 numeric
@attribute var97 numeric
@attribute var98 numeric
@attribute var99 numeric
@attribute var100 numeric
@attribute var101 numeric
@attribute var102 numeric
@attribute var103 numeric
@attribute var104 numeric
@attribute var105 numeric
@attribute var106 numeric
@attribute var107 numeric
@attribute var108 numeric
@attribute var109 numeric
@attribute var110 numeric
@attribute var111 numeric
@attribute var112 numeric
@attribute predictedclass {0,1}
@attribute class {0,1}

@data
2.053205,1.851431,2.061489,2.439675,1.997621,2.539429,2.27886,1.297014,2.247576,1.147881,1.843486,2.230267,0.529655,1.681137,0.870816,1.763192,1.117826,1.004358,1.283894,1.710314,1.24841,1.604916,1.745764,0.951028,1.765823,1.059265,1.610702,1.85068,1.209493,1.515421,1.701308,1.421629,1.080329,1.067194,1.196793,1.292182,1.160835,1.360053,1.191763,0.763452,1.213813,1.046911,1.467925,1.394444,1.046518,1.477316,1.158362,1.419406,0.427069,0.49085,0.599686,0.638173,0.611491,0.652688,0.512949,0.513012,0.520522,0.733908,0.686802,0.866671,0.703775,0.853711,0.715458,0.806757,0.476553,0.489567,0.680074,0.481215,0.690078,0.549636,0.44056,0.545876,0.421342,0.633747,0.694448,0.502186,0.572311,0.515304,0.484333,0.458247,0.304333,0.455896,0.40062,0.387211,0.423594,0.321638,0.433135,0.361261,0.420577,0.302387,0.392636,0.377521,0.320059,0.362476,0.30238,0.330708,0.224135,0.420984,0.2807,0.274409,0.308428,0.238254,0.312784,0.305984,0.311703,0.262277,0.246956,0.266344,0.264323,0.269327,0.243051,0.24449,1,1
0.312602,0.258022,0.501857,0.919262,0.465312,0.525989,1.078773,0.494669,1.127366,0.916882,1.342871,1.327739,1.232548,1.493393,1.871337,1.450997,0.805922,0.654965,1.065347,1.305316,1.106973,1.023628,1.340969,1.298962,1.374393,1.341775,1.783412,1.777104,1.44039,1.590557,1.84004,1.719636,0.657535,0.561639,0.778928,0.819819,0.77066,0.904194,0.555722,0.664855,0.546114,0.736297,0.741697,0.767732,0.715838,0.802327,0.655233,0.794277,0.280007,0.291508,0.409645,0.428473,0.41697,0.421034,0.307434,0.405528,0.310761,0.620237,0.667153,0.426662,0.710344,0.583581,0.880109,0.798368,0.452867,0.550999,0.65633,0.715892,0.641717,0.778081,0.452545,0.476895,0.445703,0.542878,0.611853,0.365369,0.549207,0.476866,0.525556,0.488541,0.374579,0.391893,0.45862,0.425683,0.456474,0.508117,0.341378,0.376204,0.340127,0.39065,0.427391,0.353194,0.377226,0.364055,0.367859,0.370235,0.174705,0.147029,0.160361,0.14734,0.164088,0.157067,0.149393,0.178573,0.148751,0.196055,0.189266,0.165554,0.267115,0.1981,0.22851,0.220522,0,1
0.220595,0.362058,0.274493,0.460668,0.274791,0.455138,0.452886,0.211647,0.510202,0.568742,0.624852,0.312305,1.329483,0.431911,0.956464,0.700796,1.187588,0.91695,1.698955,1.327164,1.728787,1.597259,0.717267,1.312425,0.772392,1.789235,2.058142,1.442124,2.220468,1.825341,2.273327,2.036697,0.944094,0.69746,1.29597,0.989309,1.296604,1.292199,0.703636,1.0403,0.698295,1.142423,1.045498,0.898477,1.0936,1.049876,1.230094,1.397533,0.373779,0.334463,0.602067,0.529474,0.589067,0.592959,0.41307,0.487019,0.408105,0.653596,0.54322,0.545773,0.570452,0.575374,0.492842,0.543731,0.33044,0.316091,0.422424,0.391147,0.406949,0.437109,0.271185,0.334134,0.261003,0.473428,0.520924,0.454866,0.532705,0.526399,0.616753,0.639022,0.265099,0.278776,0.301668,0.315073,0.296959,0.325074,0.277099,0.246827,0.270646,0.316572,0.358037,0.277319,0.320295,0.257078,0.334448,0.24349,0.199124,0.184404,0.168038,0.166094,0.149874,0.176468,0.160202,0.153132,0.157976,0.16513,0.176584,0.186345,0.25852,0.16718,0.159931,0.151648,0,1
0.627015,1.170711,0.556223,1.02086,0.459284,1.229326,0.379017,0.60974,0.360146,0.845085,1.327255,0.482546,1.224555,0.471003,0.851969,0.126899,1.051837,0.894441,1.299809,1.187054,1.276997,1.41202,0.631489,1.259516,0.645829,1.343897,1.487363,0.707963,1.131204,1.120292,1.050772,1.040767,0.647312,0.568441,1.061738,0.923131,1.062776,1.141536,0.529129,1.033158,0.527224,1.407366,1.109874,0.693367,1.478402,0.887601,1.316946,0.800899,0.398974,0.321742,0.426372,0.288512,0.423706,0.44781,0.270233,0.471119,0.28017,0.857961,0.474175,0.452745,0.883724,0.532993,0.891774,0.817862,0.374939,0.3549,0.443381,0.492355,0.425519,0.510204,0.392032,0.389434,0.386799,0.554654,0.446451,0.41863,0.529019,0.417884,0.45183,0.508417,0.27669,0.274621,0.374224,0.368935,0.379178,0.392548,0.251281,0.342698,0.253734,0.376441,0.417753,0.30227,0.365178,0.319557,0.361523,0.319545,0.16323,0.16087,0.149776,0.161238,0.14426,0.177134,0.144063,0.146686,0.144647,0.17919,0.184725,0.168786,0.25718,0.196529,0.22407,0.231958,0,1
0.629686,0.736179,1.164393,1.068913,1.147532,1.171884,0.870058,1.169433,0.894398,1.872462,1.990465,1.399169,2.046147,2.041764,2.353402,2.28913,0.985761,1.026556,1.251345,1.458804,1.2141,1.394732,0.979021,0.828226,0.945111,1.068186,1.367765,1.248325,1.189938,1.409023,1.373684,1.590578,1.243578,0.859072,1.251757,0.712461,1.184064,1.451269,0.371182,0.715475,0.36386,0.755659,0.919862,0.860913,0.668369,0.862771,0.782312,1.051868,0.525672,0.508246,0.6632,0.83181,0.657855,0.8023,0.62758,0.686287,0.656094,1.123353,0.908097,1.314372,1.047272,1.427993,1.01529,1.407244,0.469081,0.887471,0.525517,0.615499,0.545811,0.585636,0.513003,0.58405,0.491833,0.658432,0.548668,0.61759,0.527726,0.581914,0.481383,0.61097,0.28187,0.407906,0.326983,0.41474,0.331456,0.365929,0.391107,0.288858,0.384932,0.288959,0.367131,0.340103,0.305278,0.341347,0.322088,0.333464,0.182464,0.322098,0.178874,0.211269,0.180283,0.175023,0.215065,0.189075,0.20434,0.209894,0.204868,0.216065,0.26053,0.249393,0.258887,0.243062,0,1
0.382767,0.469433,0.364647,0.404163,0.333912,0.599813,0.303479,0.321393,0.227474,0.579605,0.356247,0.067171,0.661973,0.137372,0.577658,0.63299,1.139326,1.168196,1.182714,0.961643,1.205145,1.203647,0.432103,1.202388,0.376897,1.253986,1.079006,0.479707,1.350371,0.720061,1.441838,0.653653,0.665513,0.531809,0.952559,0.840314,0.896213,1.08464,0.547287,0.606111,0.535336,0.917536,1.181965,0.845307,1.150717,1.098144,1.520769,1.39914,0.502521,0.419511,0.571343,0.559247,0.571425,0.573439,0.433994,0.528178,0.440223,0.63511,0.760521,0.564885,0.716846,0.717261,0.777623,0.732268,0.320152,0.297732,0.411627,0.403704,0.414866,0.393756,0.327628,0.394447,0.340377,0.491927,0.460007,0.505486,0.519832,0.599089,0.504192,0.503638,0.276167,0.387952,0.29332,0.343276,0.291572,0.293316,0.33329,0.254403,0.329657,0.28857,0.319645,0.287695,0.289573,0.290541,0.315779,0.304828,0.185146,0.172578,0.152393,0.150917,0.154388,0.158896,0.148477,0.153791,0.161793,0.179156,0.173776,0.176455,0.222839,0.204834,0.211142,0.225379,1,1
0.584176,0.420233,0.61178,1.077866,0.64596,0.855301,0.919304,0.483378,0.904641,0.720598,1.038808,0.733484,0.594865,0.99577,0.788033,0.569372,2.14297,1.661612,2.646366,2.371258,2.606824,2.646648,1.670622,1.892242,1.634844,2.268892,2.681747,1.996385,2.361381,2.262275,2.569622,2.300594,1.025181,0.700012,1.433894,0.971618,1.404901,1.375339,0.97695,1.126852,0.979002,0.988089,1.059582,1.25097,1.027544,1.360942,1.144349,1.467299,0.496416,0.416412,0.62503,0.624476,0.618469,0.668581,0.405993,0.506675,0.402955,0.625385,0.689592,0.5908,0.710022,0.647192,0.862785,0.682755,0.558843,0.574075,0.604046,0.574074,0.603657,0.620725,0.526097,0.473919,0.519712,0.42704,0.626138,0.572397,0.502788,0.547667,0.502841,0.521683,0.278729,0.231068,0.306548,0.284014,0.319818,0.305738,0.295626,0.315241,0.292591,0.26391,0.284968,0.301312,0.26679,0.303413,0.284848,0.299993,0.180051,0.167806,0.167735,0.152551,0.171644,0.175578,0.182276,0.200957,0.187735,0.163282,0.185548,0.189338,0.196485,0.175369,0.188726,0.188766,1,1
0.911251,1.220782,1.896434,2.424774,1.880254,2.208262,1.990146,1.589574,1.975024,2.495373,3.196317,2.740355,2.314057,2.696871,3.251904,1.972992,1.127689,0.892305,1.85738,2.027651,1.853422,2.009244,1.506549,1.783949,1.490956,2.475477,2.797943,2.365885,2.635254,2.424156,2.481029,1.838383,1.367733,0.923759,1.778374,1.48553,1.759356,1.820865,0.876734,1.28459,0.878938,1.387954,1.821887,1.389294,1.45179,1.564611,1.619195,1.460886,0.38967,0.377705,0.517276,0.561839,0.493057,0.536832,0.495722,0.447957,0.497774,0.820314,0.757045,0.996767,0.81374,1.008851,0.744891,0.965242,0.209848,0.265653,0.322969,0.355436,0.328968,0.355285,0.293065,0.260914,0.286605,0.291282,0.272701,0.381913,0.253121,0.356188,0.302986,0.329933,0.223001,0.276141,0.260893,0.270885,0.255983,0.290528,0.243929,0.234248,0.235111,0.250469,0.295719,0.259132,0.251464,0.270985,0.308661,0.269852,0.172054,0.163076,0.145541,0.14643,0.14281,0.151824,0.130188,0.162574,0.131944,0.134381,0.150506,0.141032,0.201849,0.164482,0.188074,0.189992,1,1
1.331642,1.173478,0.747718,0.572116,0.669922,0.975033,0.387027,0.379534,0.391527,0.20488,0.698464,0.329407,0.300419,0.568728,0.61999,0.765842,1.56043,1.579471,1.858929,2.477111,1.766071,2.252276,2.581762,1.324814,2.594804,1.811249,2.555522,2.848128,2.034296,2.629013,2.047634,2.265091,1.020428,0.894049,1.339327,1.344284,1.290043,1.692343,0.984072,0.677946,0.974456,0.935627,1.790622,1.172343,1.078096,1.186095,1.113289,1.063408,0.288826,0.437653,0.446381,0.627721,0.430744,0.529168,0.590951,0.33672,0.577988,0.501902,0.645069,0.590269,0.549854,0.653097,0.673629,0.867511,0.27954,0.624161,0.328902,0.395853,0.338986,0.336148,0.375248,0.299474,0.359668,0.322486,0.37925,0.355483,0.312282,0.360086,0.354477,0.412848,0.270819,0.867681,0.372444,0.626905,0.367295,0.401276,0.565767,0.278946,0.526589,0.242586,0.261323,0.254425,0.241167,0.254718,0.246888,0.27364,0.233031,0.552406,0.236075,0.366013,0.22802,0.201783,0.315268,0.200621,0.28862,0.187407,0.173064,0.18477,0.271106,0.196881,0.232336,0.214233,1,1
0.263006,0.330433,0.431863,0.175914,0.443502,0.234543,0.277039,0.28421,0.295414,0.378021,0.204053,0.448991,0.312044,0.872115,0.671041,0.533411,0.741331,0.501674,1.190315,1.233625,1.176185,1.256878,0.866624,0.867756,0.837633,0.954181,1.292413,1.176108,0.791927,1.27574,1.141945,0.920193,0.700108,0.851278,1.009356,1.14891,0.962773,1.255542,1.047499,0.848046,1.046331,1.162222,1.570949,1.435788,1.312088,1.535462,1.407739,1.297657,0.501167,0.414168,0.660785,0.720421,0.652557,0.751709,0.610745,0.52694,0.618066,0.62613,0.83632,0.911185,0.667184,1.057365,1.01216,1.367919,0.436939,0.387596,0.742827,0.507214,0.770491,0.658559,0.339103,0.669382,0.344163,0.645655,0.765167,0.440341,0.686252,0.531313,0.681812,0.526865,0.278285,0.316069,0.342486,0.365994,0.33863,0.338409,0.318624,0.301494,0.310557,0.324134,0.349393,0.269332,0.292616,0.288339,0.310859,0.310491,0.171748,0.210207,0.14654,0.139876,0.144375,0.147641,0.14451,0.151292,0.136506,0.145238,0.153505,0.122377,0.218142,0.145989,0.168235,0.174048,0,1
