@relation classes_predicted

@attribute var1 numeric
@attribute var2 numeric
@attribute var3 numeric
@attribute var4 numeric
@attribute var5 numeric
@attribute var6 numeric
@attribute var7 numeric
@attribute var8 numeric
@attribute var9 numeric
@attribute var10 numeric
@attribute var11 numeric
@attribute var12 numeric
@attribute var13 numeric
@attribute var14 numeric
@attribute var15 numeric
@attribute var16 numeric
@attribute var17 numeric
@attribute var18 numeric
@attribute var19 numeric
@attribute var20 numeric
@attribute var21 numeric
@attribute var22 numeric
@attribute var23 numeric
@attribute var24 numeric
@attribute var25 numeric
@attribute var26 numeric
@attribute var27 numeric
@attribute var28 numeric
@attribute var29 numeric
@attribute var30 numeric
@attribute var31 numeric
@attribute var32 numeric
@attribute var33 numeric
@attribute var34 numeric
@attribute var35 numeric
@attribute var36 numeric
@attribute var37 numeric
@attribute var38 numeric
@attribute var39 numeric
@attribute var40 numeric
@attribute var41 numeric
@attribute var42 numeric
@attribute var43 numeric
@attribute var44 numeric
@attribute var45 numeric
@attribute var46 numeric
@attribute var47 numeric
@attribute var48 numeric
@attribute var49 numeric
@attribute var50 numeric
@attribute var51 numeric
@attribute var52 numeric
@attribute var53 numeric
@attribute var54 numeric
@attribute var55 numeric
@attribute var56 numeric
@attribute var57 numeric
@attribute var58 numeric
@attribute var59 numeric
@attribute var60 numeric
@attribute var61 numeric
@attribute var62 numeric
@attribute var63 numeric
@attribute var64 numeric
@attribute var65 numeric
@attribute var66 numeric
@attribute var67 numeric
@attribute var68 numeric
@attribute var69 numeric
@attribute var70 numeric
@attribute var71 numeric
@attribute var72 numeric
@attribute var73 numeric
@attribute var74 numeric
@attribute var75 numeric
@attribute var76 numeric
@attribute var77 numeric
@attribute var78 numeric
@attribute var79 numeric
@attribute var80 numeric
@attribute var81 numeric
@attribute var82 numeric
@attribute var83 numeric
@attribute var84 numeric
@attribute var85 numeric
@attribute var86 numeric
@attribute var87 numeric
@attribute var88 numeric
@attribute var89 numeric
@attribute var90 numeric
@attribute var91 numeric
@attribute var92 numeric
@attribute var93 numeric
@attribute var94 numeric
@attribute var95 numeric
@attribute var96 numeric
@attribute var97 numeric
@attribute var98 numeric
@attribute var99 numeric
@attribute var100 numeric
@attribute var101 numeric
@attribute var102 numeric
@attribute var103 numeric
@attribute var104 numeric
@attribute var105 numeric
@attribute var106 numeric
@attribute var107 numeric
@attribute var108 numeric
@attribute var109 numeric
@attribute var110 numeric
@attribute var111 numeric
@attribute var112 numeric
@attribute predictedclass {0,1}
@attribute class {0,1}

@data
3.174284,2.683667,1.606648,1.054712,0.671316,1.124513,1.480322,0.409095,1.819836,0.939316,0.444162,1.473785,1.207434,1.675337,1.815456,2.077171,6.751746,5.987097,3.258219,1.820591,1.695188,1.748595,1.189841,0.805087,2.020295,1.983795,1.221883,2.308985,2.390113,2.39031,2.793319,3.100414,2.390469,1.911693,0.919302,0.90333,0.675754,1.072842,1.282383,1.123796,1.880452,1.532913,1.841722,2.02791,1.844631,1.974507,1.872715,1.745733,1.020143,0.918406,1.171557,1.177555,1.250509,1.242728,1.392965,1.46801,1.4224,1.532677,1.317715,1.376549,1.417653,1.377616,1.123893,1.38758,0.474745,0.470409,0.544877,0.521987,0.54911,0.571487,0.495587,0.602162,0.544487,0.667556,0.624846,0.593911,0.630101,0.6465,0.669709,0.623028,0.231817,0.249982,0.259337,0.315466,0.316524,0.301727,0.267897,0.406188,0.276259,0.409942,0.338996,0.339986,0.332095,0.324746,0.394493,0.377732,0.308693,0.295019,0.332472,0.324021,0.373586,0.346085,0.325606,0.42725,0.398341,0.409112,0.39683,0.383469,0.489312,0.381553,0.458655,0.39807,0,1
1.380732,1.061008,0.860756,1.312954,0.182372,0.493989,0.657779,0.188546,0.492362,0.262754,1.010587,0.457334,0.449567,0.387323,0.779231,0.550806,1.330181,1.598408,1.043621,1.728118,1.052485,0.797826,1.3194,0.973739,1.546375,0.948039,1.463544,1.424866,0.846563,1.182535,0.947524,0.720297,0.977506,0.868269,0.974494,1.100327,1.026664,1.067462,1.019772,0.79955,1.114193,0.714911,1.034843,1.230381,0.690823,1.019219,0.692944,0.710949,0.867162,0.946964,0.939588,1.155089,1.217735,0.999577,1.407399,1.300779,1.91294,1.598062,1.556049,2.112622,1.665553,2.05761,1.343528,1.331435,0.561829,0.495036,0.589044,0.654502,0.482111,0.639746,0.528676,0.530343,0.537068,0.622117,0.736682,0.566211,0.519288,0.605907,0.551415,0.57189,0.311529,0.298924,0.311019,0.380018,0.325984,0.375167,0.407794,0.423646,0.375569,0.462545,0.44688,0.359369,0.383811,0.38076,0.421268,0.397981,0.308226,0.32552,0.30233,0.474576,0.324069,0.347884,0.523201,0.376081,0.318582,0.417931,0.371703,0.356869,0.390635,0.365992,0.383702,0.349017,1,1
0.85913,0.203034,1.66189,1.038881,2.57125,1.442208,1.410528,2.605487,1.995029,2.920088,1.963667,1.784285,3.371312,1.72391,2.808901,1.484626,3.509082,1.721352,4.898777,1.729716,3.958673,3.221107,2.736175,3.71928,2.583976,3.612342,3.337928,2.808174,3.098014,2.697173,3.140122,2.786012,3.01497,2.234579,3.134635,2.146612,2.285962,2.808216,1.532015,2.497531,1.638089,2.570504,1.982627,1.580433,2.312693,1.476723,1.170673,1.325141,2.098862,1.960324,2.681758,2.614444,2.548884,2.933557,2.943328,2.599637,3.706619,2.81633,3.757862,4.213396,3.337445,4.620651,4.324911,3.841266,0.48243,0.493596,0.519489,0.547731,0.513229,0.677458,0.680161,0.603067,0.856931,0.681449,0.779662,0.920079,0.596105,1.069773,0.819206,0.927603,0.28383,0.308715,0.316476,0.373333,0.331614,0.361937,0.352415,0.444518,0.502127,0.476552,0.429659,0.394942,0.393978,0.37693,0.416957,0.342141,0.217631,0.234678,0.232177,0.259146,0.299309,0.247396,0.292456,0.373597,0.330151,0.431865,0.258083,0.270786,0.346005,0.279305,0.397732,0.286791,1,1
0.769397,1.098607,0.860521,1.266226,1.378207,0.846636,1.014594,1.402216,1.205917,1.358985,1.558836,1.798426,1.158752,2.13934,1.268678,2.103273,0.926153,1.155496,1.195779,1.361936,1.272573,1.175145,1.614816,1.418442,1.584872,1.704421,2.309298,1.858881,1.8512,1.75692,1.798802,2.062307,0.832339,0.800449,1.036718,1.112117,0.986164,1.317427,0.835476,1.019943,0.849204,1.265888,1.815846,1.183395,1.599314,1.353816,1.741706,1.651651,0.801309,0.713501,1.093255,0.908204,1.265906,1.116438,1.18922,1.815826,1.381099,2.299917,1.793168,1.415176,2.351494,1.546685,2.281426,1.728553,0.450569,0.50559,0.535195,0.602319,0.516018,0.632761,0.571905,0.585024,0.543044,0.585916,0.630644,0.497089,0.676002,0.494662,0.756544,0.590971,0.243353,0.339664,0.300887,0.357607,0.311458,0.382547,0.432042,0.397882,0.422528,0.442414,0.432357,0.443737,0.45543,0.441468,0.56685,0.471239,0.329382,0.365403,0.370816,0.38997,0.35774,0.435612,0.439357,0.491643,0.441117,0.503946,0.488101,0.469673,0.413402,0.47986,0.493255,0.469186,0,1
0.498322,0.55533,0.648254,0.868025,0.450295,1.640337,1.920565,0.206158,0.610003,0.243164,0.251478,0.736164,0.281804,0.128037,0.6805,0.806303,1.762446,1.446947,1.607347,1.479057,1.205099,1.83284,1.619206,1.243204,1.055226,1.343164,1.640941,1.443857,1.34294,1.336941,1.437751,1.515815,1.158376,0.945305,1.219327,1.094888,1.252466,1.455748,1.04047,1.2239,1.033524,1.24007,1.318904,1.257527,1.121473,1.705298,1.4159,1.744507,1.226188,1.251993,1.480404,1.602476,1.562516,1.358975,1.943274,1.572997,2.004732,1.632184,0.982482,1.857699,1.395713,1.683271,0.93254,1.070373,0.420832,0.574189,0.497939,0.733555,0.579291,0.64841,0.824485,0.683024,0.757171,0.782716,0.745627,0.680522,0.78747,0.704916,0.80807,0.728919,0.324454,0.378136,0.371161,0.447002,0.389808,0.456504,0.49699,0.431526,0.442964,0.434073,0.428189,0.443381,0.365489,0.423377,0.482444,0.39771,0.316048,0.29423,0.370471,0.337465,0.35971,0.41362,0.409879,0.442922,0.42597,0.477857,0.485662,0.439716,0.499976,0.451879,0.485193,0.476359,0,1
0.271561,0.662439,0.583458,0.850237,0.977371,0.258623,0.74308,0.952988,0.721247,1.145503,0.410266,0.249932,0.748467,0.435754,0.687218,0.719913,1.307338,2.158116,1.070188,2.019449,0.842165,1.600669,1.918886,1.109617,2.254733,1.845241,1.549311,2.125307,2.085867,1.811842,2.591512,1.960669,0.931363,1.17654,1.128554,1.479065,1.266942,1.275596,1.680115,1.495577,2.241972,1.95926,2.547457,2.683272,2.137635,3.081789,2.928086,2.893931,1.216919,1.532463,1.491875,2.23792,1.730707,1.762319,2.580942,2.082746,3.218845,2.794594,2.974917,3.532331,3.29336,3.862268,4.08076,3.174046,0.405112,0.563594,0.452215,0.722595,0.498706,0.597779,0.815776,0.578395,0.871248,0.744544,0.71997,0.886378,0.805416,0.859465,1.081867,0.827057,0.347204,0.372235,0.40405,0.386699,0.421279,0.453647,0.474299,0.518785,0.452209,0.566046,0.498218,0.447594,0.575523,0.498584,0.575291,0.554395,0.361642,0.394678,0.398171,0.418607,0.381243,0.472909,0.433755,0.495731,0.443207,0.484335,0.484338,0.475235,0.442509,0.501812,0.534488,0.521581,1,1
1.022128,0.712414,0.458723,0.724916,0.630345,0.55454,0.544508,1.276788,1.320658,1.893163,2.065683,1.62043,2.233242,2.884206,3.066816,3.393294,1.364864,1.366099,1.378092,1.178557,1.370529,1.794284,1.080499,1.825382,1.29991,2.212348,2.028034,1.643938,2.45769,2.275455,2.846995,2.848913,1.094858,1.154238,1.176153,2.015299,1.62869,1.991473,2.01095,2.038055,2.149003,2.288948,2.937587,2.57731,2.681863,3.029667,3.359239,3.351061,1.067617,1.366357,1.278356,1.884352,1.395487,1.658383,2.279464,1.594226,2.654726,1.795668,2.034123,2.628782,1.82897,2.645773,2.427374,1.862284,0.444462,0.419145,0.519778,0.522223,0.52974,0.612864,0.483164,0.684844,0.580852,0.670088,0.702268,0.553161,0.575049,0.595211,0.67219,0.63799,0.314853,0.324666,0.362575,0.39785,0.34417,0.41512,0.423497,0.47188,0.420173,0.453295,0.474175,0.433413,0.402174,0.494224,0.410697,0.485126,0.279478,0.297731,0.301658,0.301982,0.315913,0.331764,0.334752,0.396674,0.316808,0.365495,0.351381,0.348939,0.318916,0.380154,0.336082,0.348208,0,1
3.333293,1.164965,4.005927,1.811129,3.312253,2.268858,1.093941,3.460135,1.712666,3.590009,0.718533,1.595707,3.353618,1.095084,1.93339,1.577305,7.248025,3.893583,5.812759,2.378677,4.115496,2.555046,2.890758,4.435879,4.06979,5.160625,3.698386,4.403051,5.22868,4.486225,5.789408,5.549394,8.27537,6.808819,6.571511,5.477925,4.14656,4.916587,4.272034,3.055758,4.763081,3.158746,4.751815,5.041274,3.841058,5.428315,5.767148,6.220501,2.854915,2.066745,3.061578,2.542216,2.813668,2.977613,2.589641,3.045611,3.128955,3.466349,3.431282,3.361915,3.791349,3.409606,4.128153,3.248185,0.882897,0.531887,0.805516,0.641758,0.615406,0.800361,0.584781,0.60269,0.624127,0.677515,0.61416,0.656982,0.601141,0.748127,0.904908,0.959288,0.261735,0.267144,0.327683,0.401226,0.41412,0.437377,0.436206,0.507987,0.43747,0.55803,0.432351,0.430824,0.370502,0.455586,0.521111,0.534049,0.298579,0.297454,0.321873,0.337653,0.352877,0.371393,0.393408,0.50344,0.353948,0.461922,0.381379,0.374452,0.397971,0.402484,0.431921,0.462609,0,1
1.809715,1.755886,2.284599,2.324395,2.178005,2.324764,1.612451,1.882908,1.99088,2.019475,2.745085,1.833816,1.995349,2.004154,2.133323,1.863174,1.389369,1.39165,1.612194,1.546232,1.464666,1.737422,1.032327,1.391641,1.34333,1.484305,1.95814,1.363253,1.535063,1.466465,1.695224,1.46787,1.351839,1.200114,1.676019,1.642205,1.571135,1.907558,1.400981,1.573961,1.522384,1.685846,2.381722,1.671827,1.891239,1.877268,2.118673,1.901646,0.962712,1.10776,1.024474,1.301316,0.845401,1.189238,1.177872,1.055073,1.036128,1.189961,1.591675,1.018874,1.253868,1.043926,1.443042,1.185158,0.389873,0.459204,0.436104,0.486545,0.41797,0.558056,0.389713,0.55121,0.471762,0.61604,0.673599,0.57215,0.684749,0.650027,0.80978,0.686088,0.319774,0.321257,0.38556,0.404334,0.395024,0.454967,0.413946,0.435282,0.438576,0.488611,0.490946,0.458724,0.479452,0.512994,0.496103,0.498979,0.269265,0.279281,0.287464,0.282656,0.286766,0.334974,0.326927,0.36438,0.322169,0.378838,0.379471,0.348942,0.350182,0.386807,0.389527,0.375734,0,0
3.39558,2.550293,2.15043,0.872555,1.486358,1.283764,1.352308,0.682783,1.806075,0.702068,1.296119,2.114905,0.776695,2.068694,1.600759,2.035791,4.909295,3.948557,2.56611,1.885645,1.928289,2.126885,2.206601,1.89482,2.866107,2.327923,3.045561,3.187224,2.424495,3.014465,2.601865,2.643181,2.780119,2.520385,1.768956,0.942115,1.377723,1.172117,1.170445,1.362726,1.68616,1.620116,1.777222,1.792464,1.745495,1.727986,1.959059,1.662888,0.866057,0.99048,0.870722,0.901067,1.145624,0.880874,1.378166,1.501143,1.475216,1.724793,1.124748,1.539935,1.718647,1.621667,1.957998,1.578689,0.422475,0.427846,0.427102,0.476787,0.381622,0.555885,0.499432,0.463362,0.48281,0.493933,0.658688,0.485084,0.527518,0.506695,0.41437,0.484944,0.244207,0.309738,0.269433,0.333284,0.323078,0.290513,0.356545,0.388641,0.291183,0.390304,0.319966,0.327573,0.359234,0.322302,0.388013,0.350125,0.292206,0.292792,0.278501,0.332052,0.241433,0.315231,0.34721,0.316353,0.357888,0.343615,0.325514,0.347599,0.353,0.363179,0.407638,0.357915,0,0
