@relation classes_predicted

@attribute var1 numeric
@attribute var2 numeric
@attribute var3 numeric
@attribute var4 numeric
@attribute var5 numeric
@attribute var6 numeric
@attribute var7 numeric
@attribute var8 numeric
@attribute var9 numeric
@attribute var10 numeric
@attribute var11 numeric
@attribute var12 numeric
@attribute var13 numeric
@attribute var14 numeric
@attribute var15 numeric
@attribute var16 numeric
@attribute var17 numeric
@attribute var18 numeric
@attribute var19 numeric
@attribute var20 numeric
@attribute var21 numeric
@attribute var22 numeric
@attribute var23 numeric
@attribute var24 numeric
@attribute var25 numeric
@attribute var26 numeric
@attribute var27 numeric
@attribute var28 numeric
@attribute var29 numeric
@attribute var30 numeric
@attribute var31 numeric
@attribute var32 numeric
@attribute var33 numeric
@attribute var34 numeric
@attribute var35 numeric
@attribute var36 numeric
@attribute var37 numeric
@attribute var38 numeric
@attribute var39 numeric
@attribute var40 numeric
@attribute var41 numeric
@attribute var42 numeric
@attribute var43 numeric
@attribute var44 numeric
@attribute var45 numeric
@attribute var46 numeric
@attribute var47 numeric
@attribute var48 numeric
@attribute var49 numeric
@attribute var50 numeric
@attribute var51 numeric
@attribute var52 numeric
@attribute var53 numeric
@attribute var54 numeric
@attribute var55 numeric
@attribute var56 numeric
@attribute var57 numeric
@attribute var58 numeric
@attribute var59 numeric
@attribute var60 numeric
@attribute var61 numeric
@attribute var62 numeric
@attribute var63 numeric
@attribute var64 numeric
@attribute var65 numeric
@attribute var66 numeric
@attribute var67 numeric
@attribute var68 numeric
@attribute var69 numeric
@attribute var70 numeric
@attribute var71 numeric
@attribute var72 numeric
@attribute var73 numeric
@attribute var74 numeric
@attribute var75 numeric
@attribute var76 numeric
@attribute var77 numeric
@attribute var78 numeric
@attribute var79 numeric
@attribute var80 numeric
@attribute var81 numeric
@attribute var82 numeric
@attribute var83 numeric
@attribute var84 numeric
@attribute var85 numeric
@attribute var86 numeric
@attribute var87 numeric
@attribute var88 numeric
@attribute var89 numeric
@attribute var90 numeric
@attribute var91 numeric
@attribute var92 numeric
@attribute var93 numeric
@attribute var94 numeric
@attribute var95 numeric
@attribute var96 numeric
@attribute var97 numeric
@attribute var98 numeric
@attribute var99 numeric
@attribute var100 numeric
@attribute var101 numeric
@attribute var102 numeric
@attribute var103 numeric
@attribute var104 numeric
@attribute var105 numeric
@attribute var106 numeric
@attribute var107 numeric
@attribute var108 numeric
@attribute var109 numeric
@attribute var110 numeric
@attribute var111 numeric
@attribute var112 numeric
@attribute predictedclass {0,1}
@attribute class {0,1}

@data
0.824371,0.410645,0.685194,0.590292,0.568031,0.596414,0.983263,1.120165,0.683542,0.905836,1.275706,0.898709,1.394711,1.319012,2.52094,1.455941,1.553267,1.375096,1.955037,1.508484,1.439902,1.502667,1.283518,1.497848,1.027355,2.176542,1.714401,1.611123,1.839247,1.606416,2.238536,1.413013,1.00234,1.009436,1.192745,1.118482,0.889387,1.136715,0.764161,1.024382,0.637294,1.152097,1.250102,0.861426,1.215266,1.058985,1.162076,1.107851,0.581282,0.432611,0.705706,0.806976,0.767479,0.825117,1.174658,1.230711,1.032603,1.367251,1.566398,1.190731,1.490422,1.432829,1.457888,1.570051,0.386321,0.326229,0.370866,0.358047,0.3421,0.369659,0.366507,0.377368,0.317031,0.363372,0.3303,0.321794,0.388855,0.354485,0.384675,0.315762,0.151904,0.147188,0.195822,0.199531,0.171066,0.192053,0.180374,0.210937,0.172162,0.250551,0.254738,0.183153,0.250721,0.219478,0.243921,0.247954,0.242015,0.235523,0.245857,0.244963,0.259402,0.244637,0.239703,0.275224,0.232735,0.29356,0.276971,0.26806,0.305524,0.286505,0.288722,0.294644,1,0
0.983549,1.147115,0.316013,0.616318,1.119754,0.59099,0.561956,1.163257,0.401565,0.81806,0.359783,0.57434,0.799472,0.648744,0.623204,0.640886,2.02421,1.779223,1.198908,1.296951,1.146209,1.187227,1.197691,1.229296,1.119525,1.185795,1.355938,1.406039,1.610393,1.516506,1.41881,1.591635,1.585847,1.565235,1.092442,1.068845,1.078086,1.023722,0.780071,0.798166,0.727254,0.740679,0.898459,0.692201,0.705257,0.723796,0.725056,0.718346,0.713216,0.652518,0.823796,0.941684,0.851542,0.977057,1.179292,0.988007,0.837287,1.000171,1.521135,0.855448,1.009859,1.27003,1.256269,1.60709,0.360823,0.313785,0.404104,0.340553,0.421987,0.330922,0.611169,0.536415,0.475377,0.602078,0.655369,0.58313,0.60997,0.630121,0.656407,0.624286,0.211768,0.235776,0.260308,0.222313,0.253204,0.222895,0.287433,0.295929,0.307886,0.280954,0.336201,0.281746,0.244942,0.283789,0.262344,0.27877,0.219444,0.234411,0.175259,0.204396,0.169021,0.202021,0.237669,0.182835,0.191186,0.206268,0.210461,0.188365,0.207474,0.177481,0.207248,0.19954,0,0
0.237846,0.703009,0.424462,0.999327,1.201547,0.944904,0.753894,0.731279,1.151161,0.477752,0.505262,0.83053,0.327882,0.631727,0.784641,0.453997,0.858306,1.051494,1.293993,1.175348,0.946495,1.160126,0.922965,0.481184,1.017449,0.834399,0.941226,0.759777,0.740336,0.473545,1.493233,0.45613,0.861962,0.826896,0.962888,0.789429,0.785249,0.76905,0.488812,0.781457,0.539349,0.911524,0.611141,0.491546,0.649525,0.511434,0.485591,0.506095,0.611742,0.670237,0.749585,0.883656,0.612624,0.890238,1.065174,0.842402,0.756614,1.100517,1.495446,0.90859,1.399753,1.291009,1.393106,1.388118,0.341302,0.328144,0.445035,0.433597,0.394599,0.435468,0.463922,0.442704,0.391675,0.565142,0.690961,0.534005,0.538399,0.64282,0.551065,0.614625,0.259802,0.2503,0.331634,0.300475,0.29817,0.283882,0.289983,0.282361,0.242043,0.279588,0.374379,0.243277,0.294113,0.264157,0.289977,0.27828,0.219957,0.206715,0.19542,0.192805,0.191637,0.201925,0.180704,0.204436,0.158956,0.230384,0.199128,0.192054,0.262701,0.185845,0.227269,0.217234,0,0
3.923853,3.976794,2.705823,3.113089,2.606874,3.169975,2.589045,2.61527,1.915727,2.013611,2.911535,1.994382,2.198676,2.439423,1.643847,2.146033,3.184468,3.074644,3.224979,2.961569,2.797967,2.982073,2.306105,2.686916,1.975457,2.358726,2.613162,2.064233,2.401713,2.187794,1.756016,1.769303,0.988432,0.94896,0.908724,1.052584,0.842189,1.085644,0.79024,0.698827,0.636833,0.648068,1.094274,0.66964,0.71325,0.858834,0.97551,0.875879,0.673306,0.666096,0.954325,0.973023,0.851893,1.016103,1.316221,1.195621,1.074391,1.143724,1.624975,1.297485,1.32087,1.756778,1.827182,2.155441,0.418543,0.512332,0.59953,0.634494,0.418449,0.65003,0.504173,0.440661,0.367371,0.584034,0.70657,0.369573,0.529,0.436926,0.60889,0.549977,0.26507,0.271986,0.282028,0.299827,0.254791,0.300663,0.338847,0.252533,0.260151,0.239486,0.289553,0.248458,0.2207,0.277444,0.259331,0.289024,0.201965,0.241208,0.166645,0.177329,0.17279,0.182289,0.27253,0.156652,0.16183,0.191954,0.192805,0.177659,0.191794,0.191267,0.209681,0.209117,0,0
2.08655,2.454686,1.495811,1.742488,1.688732,1.686127,1.881415,1.568005,1.803814,1.042884,1.606294,2.310954,1.365443,2.336288,1.778281,2.585932,8.909957,9.12635,6.075444,5.588685,6.31069,5.48287,3.961892,5.281478,3.643537,4.679612,3.755858,3.093566,4.16853,3.158629,4.954113,3.774969,2.588826,2.873441,2.033096,2.123387,1.978563,2.112889,1.929777,1.776567,1.76695,1.968952,2.246764,1.573484,2.043148,1.838667,1.983527,1.968211,1.122736,1.158063,1.330489,1.355154,1.336874,1.369658,1.661299,1.68159,1.395644,2.141114,2.081074,1.796219,2.643145,2.407047,2.999918,2.658493,0.492868,0.556727,0.410176,0.443262,0.458959,0.443273,0.510116,0.510779,0.495807,0.586741,0.79522,0.691241,0.898998,0.887807,1.220736,1.065791,0.328665,0.369107,0.351901,0.340023,0.322857,0.346521,0.295433,0.328662,0.266667,0.30989,0.382818,0.28079,0.333292,0.322283,0.346966,0.352033,0.311806,0.342821,0.274187,0.303798,0.275491,0.301039,0.283062,0.269933,0.266524,0.294769,0.293753,0.303475,0.281077,0.296795,0.286174,0.289332,0,0
2.08465,3.060513,1.494418,2.408625,1.04908,2.354859,2.205131,1.458629,2.179759,1.300604,1.394171,1.972624,1.484033,1.646259,1.635899,1.415042,2.692357,3.51055,1.681591,2.268204,1.552562,2.211171,1.754588,1.310331,1.874114,1.354904,1.141575,1.647687,1.630499,1.347236,1.725738,1.452638,1.670073,1.819687,1.491029,1.571349,1.097412,1.572355,1.15567,0.968833,1.181862,0.976771,1.200297,0.959546,0.96768,0.978511,1.196104,0.962688,0.862784,0.862552,0.982296,1.156557,1.084307,1.167391,1.395708,1.150428,1.250421,1.335484,1.83203,1.481291,1.595201,1.859524,1.513758,2.050229,0.350876,0.418347,0.402071,0.470679,0.44699,0.485749,0.463805,0.517591,0.382586,0.54584,0.716441,0.460608,0.550613,0.648162,0.644705,0.797905,0.232425,0.229989,0.300474,0.281607,0.259437,0.276692,0.23345,0.271706,0.226174,0.29611,0.339233,0.220837,0.294995,0.237274,0.282998,0.270318,0.189392,0.230016,0.15268,0.164334,0.144007,0.166362,0.147014,0.1518,0.148277,0.173129,0.181462,0.169791,0.189183,0.167668,0.187713,0.171455,0,0
2.279599,2.329575,0.788386,1.126242,0.172112,1.033297,0.47941,0.364176,0.692523,0.353374,0.602253,0.437172,0.584018,0.361269,0.47991,0.504088,2.966066,2.774851,2.265219,2.21047,1.31958,2.223026,2.486445,2.235318,2.66617,1.816355,2.035687,2.620419,2.041305,2.633924,2.56456,2.597527,1.982452,1.933311,1.441899,1.457706,1.500857,1.464053,1.415478,1.246679,1.326175,1.203924,1.253883,1.354346,1.265236,1.421925,1.262632,1.38589,0.578519,0.582758,0.8111,0.851268,0.935915,0.862824,1.150657,1.17418,0.967479,1.18463,1.115267,1.188201,1.528159,1.359834,1.464099,1.312987,0.41,0.399378,0.558748,0.53538,0.547127,0.556703,0.625887,0.756461,0.532268,0.762402,0.822475,0.601271,0.645183,0.664181,0.529866,0.609954,0.278233,0.246883,0.309306,0.275879,0.327599,0.285231,0.343147,0.370123,0.281734,0.342415,0.359652,0.290274,0.339058,0.326213,0.377404,0.336237,0.298977,0.375184,0.294926,0.289898,0.273707,0.291035,0.303127,0.315881,0.280182,0.313438,0.334059,0.263306,0.291157,0.264306,0.300173,0.278076,0,1
0.853394,0.785035,1.021964,0.690322,0.375907,0.634015,0.529263,0.780615,0.37113,0.586899,0.796953,0.249334,1.308909,0.530797,0.732151,0.76146,1.897939,1.689658,1.967813,1.786449,1.557479,1.776619,1.405555,1.359665,1.174538,1.488001,1.88228,1.27419,1.428188,1.581575,1.730966,1.761634,0.810394,0.78763,0.902055,0.885533,0.647219,0.889313,0.781127,0.875184,0.661411,0.972212,0.859196,0.733997,0.824628,0.881949,0.673472,0.931547,0.523968,0.524148,0.613911,0.705001,0.645996,0.717146,0.870154,0.93475,0.685301,1.184714,1.196013,0.893015,1.420726,1.12023,1.41978,1.290429,0.399646,0.410452,0.513549,0.442783,0.47394,0.464443,0.389231,0.551188,0.322056,0.547853,0.637085,0.385267,0.539679,0.456872,0.46119,0.538718,0.170593,0.174407,0.240671,0.213469,0.241961,0.220202,0.212136,0.255398,0.184089,0.240271,0.298718,0.203981,0.242231,0.24202,0.253131,0.252899,0.214449,0.226952,0.185619,0.19365,0.157385,0.185543,0.170066,0.188962,0.161873,0.213163,0.217571,0.189376,0.223048,0.191224,0.22824,0.221561,1,1
3.617742,4.027763,3.497688,3.865416,2.601329,3.820687,3.853918,2.14835,3.613197,2.992007,4.003287,3.390679,2.731583,3.835343,2.925617,3.604682,7.219614,7.23849,5.531512,5.474442,5.19227,5.421266,4.561081,4.4247,4.31104,3.911663,3.778342,3.78241,3.391199,3.547747,3.174891,3.007275,2.962538,3.270207,1.882147,2.057557,1.486424,2.039844,1.702918,1.546125,1.757869,1.412206,1.705098,1.654337,1.530129,1.746319,1.723163,1.881763,1.161975,1.022538,1.206545,1.095502,1.074545,1.123228,1.476597,1.179147,1.581156,1.197595,1.825305,2.223379,1.344582,2.591783,1.599118,2.573365,0.528264,0.436498,0.639543,0.403533,0.616138,0.419952,0.380761,0.735387,0.385955,0.768475,0.619589,0.537163,0.771184,0.662499,0.669154,0.763154,0.2736,0.209731,0.338973,0.302775,0.323243,0.313088,0.330013,0.305337,0.23306,0.337309,0.475897,0.303257,0.345317,0.367729,0.343339,0.395072,0.234975,0.24865,0.220048,0.227178,0.240323,0.22484,0.251297,0.242913,0.238051,0.280336,0.285398,0.267793,0.348149,0.284452,0.328189,0.296498,0,1
2.733955,3.058184,2.517547,2.487104,1.484779,2.419659,1.932532,1.935196,1.705069,1.962253,1.553304,0.986313,0.826515,0.966893,2.346149,0.670639,2.615682,3.071223,2.373604,2.9757,1.959884,3.001072,3.245286,2.370435,3.152199,3.072048,3.621844,3.519505,3.270748,3.830161,3.337822,3.835821,3.089205,2.800355,2.983069,2.576788,2.596136,2.587628,2.132233,2.287894,1.80096,2.028352,2.209085,1.787499,1.900678,1.965225,1.992721,1.974722,1.452983,1.387941,1.654841,1.525415,1.258592,1.545923,1.497264,1.604642,1.427668,1.939297,2.118635,1.917599,2.422773,1.968262,2.461332,2.134557,0.54582,0.570253,0.769115,0.699275,0.636159,0.698515,0.636992,0.670717,0.51689,0.536481,0.780915,0.557119,0.429889,0.583402,0.452186,0.569222,0.258192,0.250228,0.289222,0.286498,0.241155,0.280438,0.285519,0.250507,0.263752,0.262724,0.355353,0.279764,0.268963,0.294218,0.340439,0.308167,0.214056,0.242719,0.181933,0.198205,0.178421,0.201156,0.185674,0.171003,0.175154,0.173095,0.20445,0.198127,0.193875,0.1981,0.204015,0.203232,0,0
