@relation classes_predicted

@attribute var1 numeric
@attribute var2 numeric
@attribute var3 numeric
@attribute var4 numeric
@attribute var5 numeric
@attribute var6 numeric
@attribute var7 numeric
@attribute var8 numeric
@attribute var9 numeric
@attribute var10 numeric
@attribute var11 numeric
@attribute var12 numeric
@attribute var13 numeric
@attribute var14 numeric
@attribute var15 numeric
@attribute var16 numeric
@attribute var17 numeric
@attribute var18 numeric
@attribute var19 numeric
@attribute var20 numeric
@attribute var21 numeric
@attribute var22 numeric
@attribute var23 numeric
@attribute var24 numeric
@attribute var25 numeric
@attribute var26 numeric
@attribute var27 numeric
@attribute var28 numeric
@attribute var29 numeric
@attribute var30 numeric
@attribute var31 numeric
@attribute var32 numeric
@attribute var33 numeric
@attribute var34 numeric
@attribute var35 numeric
@attribute var36 numeric
@attribute var37 numeric
@attribute var38 numeric
@attribute var39 numeric
@attribute var40 numeric
@attribute var41 numeric
@attribute var42 numeric
@attribute var43 numeric
@attribute var44 numeric
@attribute var45 numeric
@attribute var46 numeric
@attribute var47 numeric
@attribute var48 numeric
@attribute var49 numeric
@attribute var50 numeric
@attribute var51 numeric
@attribute var52 numeric
@attribute var53 numeric
@attribute var54 numeric
@attribute var55 numeric
@attribute var56 numeric
@attribute var57 numeric
@attribute var58 numeric
@attribute var59 numeric
@attribute var60 numeric
@attribute var61 numeric
@attribute var62 numeric
@attribute var63 numeric
@attribute var64 numeric
@attribute var65 numeric
@attribute var66 numeric
@attribute var67 numeric
@attribute var68 numeric
@attribute var69 numeric
@attribute var70 numeric
@attribute var71 numeric
@attribute var72 numeric
@attribute var73 numeric
@attribute var74 numeric
@attribute var75 numeric
@attribute var76 numeric
@attribute var77 numeric
@attribute var78 numeric
@attribute var79 numeric
@attribute var80 numeric
@attribute var81 numeric
@attribute var82 numeric
@attribute var83 numeric
@attribute var84 numeric
@attribute var85 numeric
@attribute var86 numeric
@attribute var87 numeric
@attribute var88 numeric
@attribute var89 numeric
@attribute var90 numeric
@attribute var91 numeric
@attribute var92 numeric
@attribute var93 numeric
@attribute var94 numeric
@attribute var95 numeric
@attribute var96 numeric
@attribute var97 numeric
@attribute var98 numeric
@attribute var99 numeric
@attribute var100 numeric
@attribute var101 numeric
@attribute var102 numeric
@attribute var103 numeric
@attribute var104 numeric
@attribute var105 numeric
@attribute var106 numeric
@attribute var107 numeric
@attribute var108 numeric
@attribute var109 numeric
@attribute var110 numeric
@attribute var111 numeric
@attribute var112 numeric
@attribute predictedclass {0,1}
@attribute class {0,1}

@data
1.062644,1.209731,1.25102,1.959983,1.40945,1.774951,2.560705,1.500819,2.409449,1.105235,1.942177,2.356721,1.822283,2.296487,1.192247,1.830387,2.585721,2.548544,2.722245,3.433968,2.195689,2.746776,3.051541,2.295978,2.475188,2.354783,1.948488,2.528896,1.994362,1.867418,1.101304,0.98607,1.218556,1.247995,1.350642,1.372059,1.23549,1.606786,1.041194,1.344962,0.962367,1.299555,1.215224,0.892944,1.596179,1.136074,1.061236,1.080633,0.967548,0.979685,1.081216,1.077654,1.089074,1.433829,1.171071,1.155973,1.174935,1.188606,1.939148,1.36739,1.817965,1.79262,1.768292,2.24363,0.386942,0.488839,0.429302,0.629462,0.414958,0.645577,0.548492,0.441384,0.556571,0.53808,0.680181,0.607192,0.596308,0.900043,0.654752,0.94846,0.225023,0.229528,0.288624,0.30986,0.503431,0.342502,0.515643,0.252315,0.333691,0.254953,0.347666,0.339869,0.42187,0.563537,0.712345,0.934459,0.289168,0.29634,0.281354,0.280849,0.575371,0.232145,0.517089,0.281642,0.290208,0.211062,0.189399,0.265706,0.2612,0.411881,0.513512,0.786816,0,0
0.375132,0.210543,0.376736,0.672355,0.358476,0.793495,0.200252,0.14553,0.345439,0.558665,1.972365,0.519116,1.614428,1.337534,1.516392,2.299644,1.020802,0.714011,1.87833,0.994255,1.605049,1.08242,0.646271,1.207211,0.872963,1.719095,1.982776,1.1963,2.323304,1.646243,1.876366,2.273854,1.00135,0.837071,1.207374,0.931471,1.240575,1.476869,0.991137,0.987368,1.02004,0.98477,1.724044,1.317871,1.330057,1.551394,1.296687,1.475002,1.064885,1.409073,1.363976,1.784743,1.379112,2.011196,1.800425,1.890749,1.838736,1.898049,2.964707,1.910987,1.775965,1.551404,1.022038,1.096327,0.603818,0.547519,0.903809,0.687619,0.878152,0.648423,0.783611,0.659119,0.73005,0.71897,0.854342,0.750906,0.701157,0.825322,0.553423,0.802408,0.260991,0.263804,0.356738,0.311677,0.492905,0.333037,0.45866,0.303171,0.318869,0.338693,0.296765,0.380686,0.427294,0.481516,0.636184,0.720575,0.285203,0.277701,0.288545,0.260498,0.485431,0.248371,0.490521,0.257228,0.192162,0.260985,0.221555,0.214353,0.27405,0.366348,0.451281,0.684044,0,0
1.847536,0.7062,2.084844,0.78645,2.318711,2.01512,0.985666,1.878936,0.672797,2.127039,1.788298,1.031527,2.620627,1.449626,2.285711,1.107185,1.291448,0.993713,1.25658,1.394636,1.278136,1.753746,1.552619,1.375756,1.244137,1.381193,1.310026,1.351176,1.565066,1.434863,1.313538,1.425271,0.588176,0.552635,0.585037,0.59609,0.667429,0.750665,0.737044,0.829345,0.859893,0.843511,0.804284,1.001836,0.898601,1.146265,0.964996,1.206902,0.761034,0.823028,0.822548,0.900381,1.029453,1.050444,0.989563,1.462676,1.040559,1.798056,1.276626,1.142228,2.341591,1.747882,1.336174,2.033104,0.43673,0.46129,0.626329,0.586296,0.800868,0.555299,0.780433,0.486086,1.026504,0.571691,0.829059,0.670664,0.850795,0.764104,0.649184,0.799796,0.300023,0.293219,0.395153,0.380862,0.78136,0.375114,1.068626,0.427216,0.618449,0.384873,0.437982,0.503171,0.474965,0.463413,0.613807,0.745165,0.299832,0.261989,0.361652,0.298451,0.873672,0.247434,1.090213,0.41654,0.722204,0.275697,0.232417,0.483674,0.358136,0.385746,0.579411,0.59582,0,0
0.7251,1.433932,0.932204,1.499762,1.178911,1.704021,1.053206,1.83641,0.803508,1.577873,0.852032,0.746989,1.187276,0.331251,0.525091,0.564478,1.717668,1.855264,1.399007,2.014381,1.129446,2.299355,1.667458,1.199814,1.461372,1.355616,2.44678,1.528238,1.551921,1.491052,1.38214,1.995249,0.780677,0.80745,0.817216,0.84738,0.721897,1.238924,0.806024,0.819499,0.750688,0.978245,0.935693,0.744654,1.301485,0.860781,1.002825,0.849575,0.746174,0.840448,0.848794,0.932223,0.716217,1.229239,1.105761,0.949982,1.240931,1.297869,1.874881,1.500703,2.038411,1.502108,1.515852,1.658951,0.38565,0.382316,0.523717,0.424359,0.559002,0.543182,0.616768,0.530721,0.488509,0.632671,0.806662,0.57044,0.939284,0.841804,0.858784,0.923372,0.181242,0.179102,0.217843,0.251673,0.399596,0.252004,0.47116,0.236321,0.291198,0.261988,0.281889,0.326541,0.335114,0.458561,0.475597,0.836341,0.27974,0.281823,0.29259,0.267695,0.634011,0.274093,0.528099,0.349598,0.254532,0.317483,0.264955,0.2922,0.316524,0.465354,0.597048,0.818773,1,0
0.745356,0.526291,0.919903,0.619694,0.974043,1.120366,0.89874,0.464345,1.009278,0.864731,1.287919,1.187401,1.02588,1.02896,0.572815,1.340612,1.225629,1.719258,1.868754,2.382023,1.889384,2.232103,2.014745,1.363069,1.982322,1.353059,2.152239,1.999452,1.588323,1.999663,1.096462,1.771822,1.187429,0.945239,1.3166,0.940163,1.242658,1.255033,0.898296,1.288137,0.959323,1.317793,1.275184,1.132911,0.916259,0.98461,0.750218,0.963586,0.672764,0.786264,0.871974,0.948424,0.996742,1.166565,0.968925,1.29656,0.995637,1.171277,1.384548,1.134908,1.510092,1.605919,1.248361,1.728998,0.463496,0.466148,0.638398,0.545576,0.574818,0.685773,0.617158,0.481785,0.614844,0.463291,0.640465,0.608973,0.524084,0.597417,0.569264,0.791648,0.159643,0.189333,0.193686,0.206304,0.200349,0.235213,0.191458,0.205843,0.199782,0.216948,0.240476,0.231017,0.319992,0.337375,0.386361,0.562002,0.239265,0.246849,0.205082,0.20354,0.189842,0.217643,0.17351,0.184186,0.188826,0.221974,0.21217,0.213877,0.245458,0.319765,0.392234,0.683124,0,0
0.909338,0.733196,1.621836,0.937725,1.304217,1.969229,0.785409,0.611069,0.741484,0.836701,1.145242,0.870019,0.687291,1.068574,0.651946,0.960658,1.728011,1.869661,2.165823,2.111747,1.815489,2.383742,1.639672,1.597431,1.236725,1.726297,2.139395,1.309315,1.899065,2.178629,1.773614,2.305717,0.947283,0.85747,1.11543,0.812804,0.920017,0.944646,0.631876,1.157712,0.634891,1.395206,0.940493,0.639866,2.077822,0.911908,1.564863,1.223588,0.42703,0.557288,0.499687,0.698765,0.699701,0.815496,1.149264,0.862428,1.270693,1.111599,1.425377,1.669171,1.839357,2.545551,1.38904,2.220713,0.397427,0.402571,0.438641,0.486852,0.497841,0.46147,0.535318,0.500254,0.572977,0.569594,0.572314,0.609534,0.67569,0.778086,0.695239,0.801929,0.254941,0.237293,0.316487,0.303988,0.328057,0.333218,0.266729,0.285799,0.266589,0.295909,0.301041,0.287847,0.432512,0.411864,0.584285,0.644806,0.284105,0.293533,0.266455,0.262845,0.276124,0.265329,0.225493,0.300776,0.240143,0.320397,0.278428,0.295766,0.435436,0.432901,0.65376,0.785745,0,0
0.847771,0.440281,1.276111,0.981985,1.182409,1.173303,0.994123,1.281086,1.026247,1.360544,1.57487,1.326823,1.901553,2.370598,1.988062,2.811727,1.5287,1.337835,1.833607,1.597512,1.386076,2.072674,1.589593,1.305038,1.785787,1.557817,2.315281,2.234084,2.315499,3.432251,2.642823,3.333645,0.789207,0.90978,1.079459,0.967941,1.107687,0.994735,0.813792,1.256524,0.825407,1.401108,1.866313,1.246159,1.693103,1.655858,1.660255,1.701598,0.833143,0.7286,1.135213,0.807788,1.286569,1.381992,0.990064,1.657353,1.029202,2.341439,2.224539,1.141682,3.759243,2.85846,1.896943,2.837275,0.355903,0.31013,0.44537,0.389716,0.574055,0.478247,0.547549,0.458545,0.725691,0.502774,0.588824,0.702934,0.821474,1.149624,0.824728,1.161518,0.233393,0.218629,0.303836,0.276997,0.530755,0.258928,0.586493,0.354245,0.621973,0.277023,0.288518,0.498897,0.386025,0.59172,0.623338,0.795423,0.284642,0.271057,0.292098,0.284471,0.516436,0.27824,0.72655,0.360418,0.644315,0.288176,0.261412,0.52703,0.372077,0.606347,0.655412,1.054992,1,0
1.17301,1.17876,1.329318,1.258859,0.882134,1.689574,1.378628,1.086058,1.346519,1.294353,1.764684,1.419488,1.434137,1.613655,1.324099,1.61997,2.384122,2.27768,2.785949,2.252937,2.008002,3.225372,1.869936,2.032019,1.806303,1.910276,2.841364,1.948901,2.105439,2.089494,1.562483,2.19202,0.758875,0.715426,1.008839,0.80607,0.957127,0.934348,0.70135,1.048123,0.656224,1.140185,1.032024,0.64932,1.341516,0.608764,1.127476,0.689961,1.135298,1.019093,1.378665,1.071522,1.353775,1.4762,0.892748,1.509148,0.758233,1.533053,1.344866,0.943197,1.703268,1.15493,1.461199,1.390247,0.325452,0.370315,0.468149,0.532938,0.539153,0.512107,0.561469,0.599932,0.530742,0.706692,1.008468,0.591084,0.916017,0.644759,0.774455,0.895343,0.160288,0.139584,0.197913,0.178891,0.229776,0.241061,0.186304,0.19897,0.264148,0.226473,0.268826,0.316404,0.350727,0.475011,0.602651,0.714995,0.2213,0.231562,0.20191,0.192397,0.260855,0.206327,0.181538,0.263706,0.251571,0.223538,0.205846,0.275614,0.255482,0.467357,0.450962,0.756824,0,0
1.205554,0.992984,1.111396,0.821684,0.546869,1.798683,1.353322,0.509121,0.311095,0.429728,0.89205,0.379838,0.130256,0.797093,0.348576,0.626778,1.354953,1.31452,1.62978,1.300858,1.382032,1.875386,1.080298,1.322087,1.094619,1.522451,1.468608,1.151194,1.191287,1.135423,0.837335,1.116267,0.766782,0.711402,0.940676,0.679081,1.018213,1.075852,0.617702,1.143152,0.635336,1.353943,1.031346,0.585912,1.390002,0.74445,1.04739,0.844965,0.942408,1.115959,1.193073,1.407683,1.30858,1.610719,1.435488,1.568046,1.247671,1.744887,2.754048,1.196491,2.142702,1.732076,1.661102,2.251948,0.441548,0.41735,0.607859,0.501614,0.732579,0.608957,0.636405,0.867645,0.457759,0.965225,0.768247,0.341841,0.881361,0.513059,0.525509,0.599197,0.150124,0.177937,0.173836,0.220506,0.315692,0.241349,0.464443,0.218722,0.411297,0.282445,0.270124,0.39559,0.365358,0.574357,0.622944,1.081374,0.226183,0.244263,0.250638,0.230738,0.462673,0.207561,0.477012,0.245812,0.341466,0.267588,0.239091,0.369645,0.325986,0.535775,0.470861,0.975746,0,0
1.030667,1.713182,1.86296,1.590029,1.536379,2.232347,2.191457,1.03084,2.801614,0.735015,1.805479,2.947696,0.596527,1.661322,0.550988,0.821765,1.291401,1.444733,1.89111,1.267752,1.944818,1.710403,1.474666,1.27045,2.153786,0.934911,1.376997,2.391317,1.057851,2.2099,1.054835,1.985293,0.962689,1.143685,0.955839,1.341664,0.98048,1.072667,1.10467,1.309529,1.309531,1.403287,1.294754,1.47182,1.450164,1.348807,1.456121,1.259055,1.084024,1.142098,1.192689,1.28455,1.383523,1.416552,1.44919,1.710755,1.467803,1.840035,1.509768,1.403805,1.690546,1.369846,1.482518,1.567722,0.3248,0.412898,0.407608,0.545163,0.402751,0.602295,0.552408,0.390943,0.6028,0.447379,0.483717,0.618976,0.548289,0.754656,0.64659,1.14204,0.19313,0.217172,0.232877,0.231617,0.412618,0.2681,0.398862,0.266461,0.391926,0.277093,0.217832,0.316742,0.358197,0.477131,0.600673,1.094238,0.277771,0.309077,0.277614,0.311317,0.495992,0.263795,0.604401,0.275358,0.510457,0.260923,0.271392,0.354643,0.407484,0.562464,0.761099,1.267835,1,0
