@relation classes_predicted

@attribute var1 numeric
@attribute var2 numeric
@attribute var3 numeric
@attribute var4 numeric
@attribute var5 numeric
@attribute var6 numeric
@attribute var7 numeric
@attribute var8 numeric
@attribute var9 numeric
@attribute var10 numeric
@attribute var11 numeric
@attribute var12 numeric
@attribute var13 numeric
@attribute var14 numeric
@attribute var15 numeric
@attribute var16 numeric
@attribute var17 numeric
@attribute var18 numeric
@attribute var19 numeric
@attribute var20 numeric
@attribute var21 numeric
@attribute var22 numeric
@attribute var23 numeric
@attribute var24 numeric
@attribute var25 numeric
@attribute var26 numeric
@attribute var27 numeric
@attribute var28 numeric
@attribute var29 numeric
@attribute var30 numeric
@attribute var31 numeric
@attribute var32 numeric
@attribute var33 numeric
@attribute var34 numeric
@attribute var35 numeric
@attribute var36 numeric
@attribute var37 numeric
@attribute var38 numeric
@attribute var39 numeric
@attribute var40 numeric
@attribute var41 numeric
@attribute var42 numeric
@attribute var43 numeric
@attribute var44 numeric
@attribute var45 numeric
@attribute var46 numeric
@attribute var47 numeric
@attribute var48 numeric
@attribute var49 numeric
@attribute var50 numeric
@attribute var51 numeric
@attribute var52 numeric
@attribute var53 numeric
@attribute var54 numeric
@attribute var55 numeric
@attribute var56 numeric
@attribute var57 numeric
@attribute var58 numeric
@attribute var59 numeric
@attribute var60 numeric
@attribute var61 numeric
@attribute var62 numeric
@attribute var63 numeric
@attribute var64 numeric
@attribute var65 numeric
@attribute var66 numeric
@attribute var67 numeric
@attribute var68 numeric
@attribute var69 numeric
@attribute var70 numeric
@attribute var71 numeric
@attribute var72 numeric
@attribute var73 numeric
@attribute var74 numeric
@attribute var75 numeric
@attribute var76 numeric
@attribute var77 numeric
@attribute var78 numeric
@attribute var79 numeric
@attribute var80 numeric
@attribute var81 numeric
@attribute var82 numeric
@attribute var83 numeric
@attribute var84 numeric
@attribute var85 numeric
@attribute var86 numeric
@attribute var87 numeric
@attribute var88 numeric
@attribute var89 numeric
@attribute var90 numeric
@attribute var91 numeric
@attribute var92 numeric
@attribute var93 numeric
@attribute var94 numeric
@attribute var95 numeric
@attribute var96 numeric
@attribute var97 numeric
@attribute var98 numeric
@attribute var99 numeric
@attribute var100 numeric
@attribute var101 numeric
@attribute var102 numeric
@attribute var103 numeric
@attribute var104 numeric
@attribute var105 numeric
@attribute var106 numeric
@attribute var107 numeric
@attribute var108 numeric
@attribute var109 numeric
@attribute var110 numeric
@attribute var111 numeric
@attribute var112 numeric
@attribute predictedclass {0,1}
@attribute class {0,1}

@data
9.403615,9.019255,7.252221,6.640742,4.637399,5.015011,4.239185,3.906345,3.311122,3.624443,3.149137,2.747781,3.209699,2.412251,2.929632,2.575523,9.080182,8.970995,6.32294,6.231425,3.564579,4.223503,4.250305,2.721926,3.179492,2.513586,3.000615,2.771738,2.387052,2.538461,2.460078,2.182284,3.577987,3.06899,2.378252,2.000992,1.582763,1.456903,1.316271,1.269627,0.989609,1.138894,1.220262,0.951127,1.14896,1.0903,1.183158,1.616733,0.982194,0.943515,0.942861,0.953503,0.95697,1.021706,0.886376,0.97278,1.082583,1.016198,1.25965,1.310517,1.258222,1.553679,1.802288,1.649814,0.409456,0.459699,0.433874,0.455768,0.34908,0.47197,0.351293,0.332345,0.369899,0.438546,0.5491,0.47684,0.581395,0.62652,1.025266,1.063766,0.243902,0.27737,0.257439,0.278196,0.243492,0.26471,0.256419,0.240501,0.262368,0.259366,0.279709,0.254514,0.284217,0.269181,0.314973,0.391243,0.369369,0.348341,0.334744,0.303908,0.277683,0.272822,0.268944,0.249812,0.266532,0.283852,0.280014,0.275531,0.286229,0.242665,0.304075,0.291221,0,1
0.499868,0.814815,0.492822,0.672565,0.3616,0.807492,0.481369,0.373937,0.41673,0.371926,1.007486,0.667467,0.681044,1.264353,1.122942,1.592732,0.827332,0.928804,0.869878,0.92453,1.169437,1.257427,0.961613,1.06361,0.895499,0.973359,1.222447,0.765514,1.17114,0.933345,1.763372,1.815152,0.639916,0.571878,0.802964,0.709527,0.783478,0.918984,0.942168,0.778281,1.079841,1.018742,1.454097,1.230671,1.333258,1.686367,2.230296,2.851337,0.68958,0.664022,0.802792,0.775347,0.811752,1.099747,0.799326,1.000264,0.930196,1.338081,1.353367,1.292996,1.719905,1.86232,2.347286,2.558997,0.413251,0.402073,0.524209,0.505408,0.519507,0.590136,0.490843,0.49004,0.490416,0.42848,0.494708,0.515927,0.438643,0.571936,0.748431,0.851963,0.197808,0.200796,0.223009,0.219236,0.251608,0.237688,0.218612,0.257388,0.206871,0.268794,0.258304,0.212511,0.295916,0.280427,0.385471,0.423047,0.276095,0.258274,0.247264,0.262686,0.2205,0.250216,0.266576,0.238779,0.23806,0.239021,0.219474,0.210816,0.240556,0.197692,0.249152,0.219501,0,1
1.456006,1.550405,1.411924,1.145727,1.659103,1.167833,1.299798,1.678812,1.301419,1.617376,1.462269,1.255457,1.813634,1.241573,1.913353,1.962135,1.344436,1.541034,1.640011,1.527584,1.556724,1.930114,1.564559,1.893253,1.515704,1.87753,2.287261,1.765973,2.139733,1.99812,2.000792,1.787895,0.622974,0.861217,0.730619,0.990793,0.750617,1.027929,0.978181,0.76927,1.104171,0.924253,1.572968,1.241399,1.151323,1.304099,1.102221,1.235723,0.747052,0.927672,0.944584,1.178282,1.09248,1.346027,1.315579,1.436498,1.797826,1.726481,2.453376,2.184565,2.024321,2.325235,1.863106,1.952201,0.38482,0.39764,0.469822,0.467337,0.490848,0.585122,0.464703,0.569117,0.62665,0.842437,0.961472,0.737513,0.704658,0.729339,0.893064,0.76079,0.234366,0.25653,0.288775,0.272955,0.406277,0.295329,0.284846,0.678349,0.304064,1.017316,0.357539,0.443304,0.534649,0.303346,0.333166,0.332369,0.426603,0.406201,0.439671,0.374599,0.550528,0.375815,0.37771,0.962626,0.472142,1.122231,0.402624,0.576325,0.641007,0.394919,0.404329,0.37275,1,1
5.55226,5.278686,3.333008,3.3704,2.192523,2.767841,2.217872,2.378526,1.634538,2.183473,1.808901,1.225146,2.60595,1.305212,1.881455,1.501314,12.46211,11.11336,8.675033,7.648958,5.514298,6.000947,5.220264,4.228856,3.939608,3.921098,4.486224,3.444504,3.926411,3.332537,3.924503,3.747343,3.441688,3.278661,2.069953,2.149441,1.236382,1.305021,1.578475,1.130804,1.481782,1.144743,1.553519,1.524651,1.133786,1.611669,1.214868,1.674322,1.029775,0.978821,1.005334,0.95827,0.794642,1.052267,1.060198,0.967732,1.452131,1.219597,1.628301,1.782504,1.694,2.224153,2.289555,2.397804,0.364941,0.422059,0.44176,0.464061,0.427753,0.526481,0.46315,0.437336,0.447832,0.414511,0.538417,0.515388,0.465712,0.590468,0.703559,0.719387,0.209037,0.223248,0.222415,0.216004,0.217717,0.262955,0.228021,0.236056,0.271153,0.273474,0.307495,0.31142,0.298369,0.338698,0.348968,0.395235,0.346177,0.322906,0.292391,0.285107,0.236978,0.249077,0.236336,0.236943,0.235976,0.261058,0.254776,0.238593,0.280787,0.219972,0.299715,0.268561,1,1
6.297316,5.424073,4.955117,3.666587,2.982044,3.738454,2.265111,2.496202,1.333189,1.880483,1.074259,1.316944,1.074915,1.595621,1.117893,1.732534,5.820908,5.032556,4.024235,3.115993,2.540808,2.437259,2.247667,2.003047,1.927482,1.403038,1.250489,1.996312,1.312711,1.851982,1.075115,1.543882,4.129197,3.670602,3.073116,2.584243,2.086527,2.201405,1.82125,1.85125,1.666541,1.773328,2.212468,1.797585,1.726509,2.111703,2.066358,2.260244,1.972211,1.728002,1.639862,1.448939,1.390217,1.577868,1.223385,1.702487,1.889005,2.145227,2.448599,2.431898,2.611323,2.791493,2.846481,2.900219,0.461599,0.522094,0.452244,0.523757,0.40791,0.566727,0.498888,0.585055,0.569744,0.749651,0.757627,0.735144,0.667081,0.737512,0.811303,0.872088,0.298734,0.321187,0.345334,0.297989,0.64277,0.330991,0.289177,1.121848,0.345131,1.060287,0.403124,0.51303,0.563475,0.390768,0.390852,0.448258,0.373033,0.352225,0.383714,0.307701,0.623277,0.317965,0.333639,1.076043,0.454999,1.244543,0.361008,0.569307,0.683202,0.343821,0.399927,0.355031,0,1
1.65464,1.406564,2.055418,1.699813,2.152363,1.924306,1.814835,1.799014,1.569844,1.589056,2.732958,1.686977,1.459057,2.118102,1.658909,2.506578,1.038066,1.199465,1.082183,1.185692,1.047994,1.293759,1.418082,0.953499,1.465305,1.219989,1.752071,1.500805,1.503372,1.610423,2.037313,2.449792,0.76367,0.65398,0.89369,0.703624,0.786411,1.124472,0.852938,0.696077,0.948611,0.840272,1.51608,1.107948,1.051338,1.270167,1.164996,1.654116,0.930708,0.900345,0.968321,1.002877,0.911359,1.207854,1.026019,1.182654,1.617127,1.601887,2.436136,2.152786,2.178561,2.539995,2.756901,2.566875,0.426998,0.437523,0.523282,0.513204,0.476885,0.739735,0.511293,0.513382,0.697503,0.619992,1.051588,0.841888,0.745288,0.927863,0.876633,0.922678,0.210725,0.250026,0.214111,0.25636,0.216535,0.257171,0.26125,0.230365,0.285067,0.254904,0.321615,0.300851,0.286442,0.330161,0.311832,0.34683,0.352876,0.32387,0.306833,0.278989,0.259158,0.269067,0.267205,0.24483,0.267308,0.259219,0.28106,0.263712,0.290589,0.260939,0.302041,0.304911,0,1
7.757104,7.638365,5.338406,5.297787,3.398868,3.739941,3.282899,1.684509,2.502772,1.400923,2.575436,2.469771,1.488601,2.257002,1.560251,1.577402,11.93054,11.40755,8.457651,8.085028,4.935938,5.302303,4.857176,3.382822,3.409646,2.755763,3.205752,2.94146,2.112788,2.746571,2.233217,2.973382,5.222018,4.860087,3.930439,3.53173,2.802623,2.883448,2.290141,2.631194,1.731639,2.540942,2.783181,1.756615,2.44317,2.048538,1.999344,2.408569,1.783466,1.683783,1.789796,1.707088,1.65534,2.432918,1.68673,1.939952,2.209118,2.480584,2.514048,2.805064,2.735422,3.109216,2.481458,2.943437,0.475063,0.485347,0.496968,0.626594,0.671049,0.66706,0.848345,0.854697,0.828794,0.975026,0.950139,0.949268,0.912816,1.067247,1.108145,1.391944,0.270899,0.275543,0.34193,0.292758,0.62563,0.348147,0.598807,0.978099,0.771944,1.141611,0.416912,0.761693,0.56416,0.572223,0.405791,0.498475,0.422331,0.390429,0.468145,0.365604,0.834567,0.380676,0.720513,1.362409,0.888484,1.562391,0.399094,0.848333,0.78179,0.511554,0.385833,0.380736,1,1
3.559033,3.968195,2.296312,3.193853,1.505395,2.211102,3.021855,1.830596,3.132961,2.165147,2.372849,3.316499,2.354226,3.236917,2.517214,2.591704,3.99862,3.878472,2.694134,2.796069,1.926942,1.827037,1.940922,1.701355,1.757775,1.380457,1.646129,1.772589,1.370345,1.852291,1.432046,1.922812,2.14994,1.88148,1.521751,1.392802,0.772845,1.182597,0.843221,0.748124,0.831677,0.939671,1.025413,0.995916,1.203264,1.192368,1.435622,1.584001,1.296286,1.349241,1.502387,1.515306,0.962325,2.004794,1.468133,1.028246,1.602284,1.156853,1.838791,1.679453,1.394229,1.717667,1.930187,1.606627,0.342717,0.26597,0.346965,0.329554,0.384884,0.387273,0.384125,0.365343,0.400531,0.398876,0.531937,0.457304,0.521964,0.542018,0.747516,0.638318,0.202475,0.196401,0.203717,0.194222,0.206009,0.224386,0.188031,0.217643,0.206977,0.245428,0.26396,0.229029,0.255326,0.269185,0.29909,0.336055,0.260355,0.210344,0.223213,0.228066,0.199425,0.216661,0.19425,0.228238,0.211293,0.207675,0.212764,0.207846,0.201772,0.218089,0.232579,0.232355,1,1
0.533644,1.044557,0.956563,0.610011,0.244838,1.134881,0.440151,0.554492,0.904195,0.821073,0.468624,1.313508,1.136549,1.601392,1.538665,1.717197,1.036803,1.293772,1.029217,1.358112,0.899684,1.745384,1.447749,1.135236,1.805017,1.67784,2.153164,2.406392,1.897736,2.774301,2.492822,2.188427,0.273899,0.544587,0.290396,0.675482,0.378091,0.582605,0.555335,0.542476,0.746866,0.623885,1.290584,1.030211,0.835369,1.277043,1.53322,1.6544,0.974303,0.939619,1.148779,1.168911,1.112115,1.494175,1.366769,1.445714,2.099802,1.825541,2.41572,2.646345,2.214971,2.839745,2.425218,2.39635,0.417667,0.555203,0.465253,0.574878,0.415817,0.607141,0.52446,0.494107,0.590184,0.588589,0.728403,0.64463,0.697292,0.687668,0.829346,0.845583,0.252744,0.246535,0.246585,0.239425,0.235162,0.27918,0.199104,0.233398,0.241036,0.244545,0.294875,0.265485,0.253506,0.274751,0.298571,0.332303,0.329559,0.320217,0.281634,0.275874,0.213422,0.246969,0.253074,0.194912,0.248742,0.226683,0.255084,0.254866,0.236197,0.235597,0.255771,0.263961,1,1
6.355622,6.304447,4.66877,5.173194,2.998958,3.815263,3.531029,2.532697,2.860204,2.483247,2.945973,2.703019,2.172165,2.401771,1.069153,1.179829,12.23636,11.62294,8.631272,9.02847,5.23047,6.217341,6.663472,4.098111,5.301371,3.749434,4.278881,4.805348,3.407782,4.360922,2.573556,3.43091,5.004706,4.262607,3.328018,2.825375,2.296357,1.89818,1.81397,1.875821,1.594404,1.728012,2.061904,1.699659,1.985156,1.835875,2.229848,2.360771,1.592524,1.54149,1.555933,1.685132,1.393933,2.026801,1.689906,1.577001,2.059416,1.86498,2.737708,2.40559,2.067467,2.443859,2.036694,2.36256,0.381979,0.341772,0.415653,0.351568,0.413369,0.372441,0.415572,0.431075,0.514627,0.533159,0.652367,0.603938,0.688884,0.720458,0.78227,0.939023,0.261384,0.253569,0.291154,0.242202,0.258134,0.273337,0.262206,0.275771,0.291557,0.276217,0.32312,0.325879,0.306699,0.372669,0.343818,0.444828,0.367291,0.353719,0.351386,0.301244,0.237419,0.27843,0.25988,0.238776,0.275842,0.261079,0.280556,0.28952,0.278713,0.284975,0.309163,0.309914,0,1
