=== Run information ===

Scheme:weka.classifiers.functions.Logistic -R 1.0E-8 -M -1
Relation:     classes
Instances:    597
Attributes:   113
[list of attributes omitted]
Test mode:10-fold cross-validation

=== Classifier model (full training set) ===

Logistic Regression with ridge parameter of 1.0E-8
Coefficients...
                            Class
Variable                        0
=================================
var1                       0.1356
var2                       0.1255
var3                      -0.0056
var4                      -0.6706
var5                       0.1898
var6                      -0.1239
var7                       0.6875
var8                        0.265
var9                      -0.6236
var10                     -0.0109
var11                      0.0512
var12                      1.3762
var13                     -1.0626
var14                     -1.1891
var15                      0.2159
var16                      0.8785
var17                     -0.2926
var18                      0.2713
var19                      0.5646
var20                      -0.462
var21                     -0.4261
var22                      0.0018
var23                        0.57
var24                      0.4521
var25                     -2.4125
var26                     -0.7514
var27                      0.3232
var28                      1.7034
var29                      0.5393
var30                      0.1225
var31                     -0.3765
var32                      -0.405
var33                      2.3183
var34                      0.7966
var35                      -3.904
var36                     -4.6455
var37                      2.1127
var38                      3.3078
var39                      5.0838
var40                      1.4499
var41                     -5.4254
var42                     -4.8209
var43                     -1.2529
var44                      5.6467
var45                      2.0421
var46                     -3.0489
var47                      -0.052
var48                      0.8645
var49                      2.3921
var50                      -3.538
var51                     -3.8896
var52                       4.377
var53                      1.7213
var54                      0.6577
var55                      0.2565
var56                     -0.5548
var57                     -0.4991
var58                      1.3266
var59                     -1.8789
var60                     -1.3084
var61                     -3.2324
var62                      5.4064
var63                      0.2964
var64                     -2.0195
var65                      5.5668
var66                     -4.3871
var67                     -3.9438
var68                      5.0463
var69                     -7.8053
var70                      4.4111
var71                      0.7157
var72                      4.8387
var73                     -6.8529
var74                      3.7389
var75                      -2.776
var76                     12.4835
var77                     -3.3314
var78                     -5.0566
var79                      2.5011
var80                     -0.1309
var81                    -14.6876
var82                    -10.3505
var83                     12.7751
var84                     19.6481
var85                     -1.1354
var86                      6.0517
var87                      0.8703
var88                     -4.6422
var89                    -13.6701
var90                     -9.3967
var91                    -19.7408
var92                     14.3062
var93                      10.348
var94                     11.6254
var95                      7.2864
var96                    -15.4251
var97                     14.2598
var98                    -23.2396
var99                     12.5481
var100                     29.596
var101                    -1.0763
var102                   -41.2024
var103                     0.0554
var104                    -1.4024
var105                      2.529
var106                     4.1362
var107                    13.9263
var108                    -2.0276
var109                     5.7593
var110                   -10.8626
var111                    -8.1337
var112                     6.8042
Intercept                 -1.7296


Odds Ratios...
                            Class
Variable                        0
=================================
var1                       1.1452
var2                       1.1338
var3                       0.9944
var4                       0.5114
var5                       1.2091
var6                       0.8835
var7                       1.9888
var8                       1.3034
var9                        0.536
var10                      0.9892
var11                      1.0525
var12                      3.9599
var13                      0.3456
var14                      0.3045
var15                       1.241
var16                      2.4072
var17                      0.7463
var18                      1.3116
var19                      1.7587
var20                        0.63
var21                       0.653
var22                      1.0018
var23                      1.7683
var24                      1.5716
var25                      0.0896
var26                      0.4717
var27                      1.3815
var28                      5.4923
var29                      1.7149
var30                      1.1304
var31                      0.6863
var32                       0.667
var33                     10.1588
var34                      2.2179
var35                      0.0202
var36                      0.0096
var37                      8.2708
var38                     27.3251
var39                    161.3874
var40                      4.2629
var41                      0.0044
var42                      0.0081
var43                      0.2857
var44                    283.3576
var45                      7.7067
var46                      0.0474
var47                      0.9493
var48                      2.3738
var49                     10.9361
var50                      0.0291
var51                      0.0205
var52                     79.5976
var53                      5.5921
var54                      1.9304
var55                      1.2924
var56                      0.5742
var57                      0.6071
var58                      3.7682
var59                      0.1528
var60                      0.2703
var61                      0.0395
var62                    222.8185
var63                       1.345
var64                      0.1327
var65                    261.5832
var66                      0.0124
var67                      0.0194
var68                     155.448
var69                      0.0004
var70                     82.3629
var71                      2.0455
var72                    126.3094
var73                      0.0011
var74                     42.0512
var75                      0.0623
var76                 263944.9499
var77                      0.0357
var78                      0.0064
var79                     12.1957
var80                      0.8773
var81                           0
var82                           0
var83                 353300.1605
var84              341247706.8026
var85                      0.3213
var86                    424.8287
var87                      2.3876
var88                      0.0096
var89                           0
var90                      0.0001
var91                           0
var92                1633486.9395
var93                  31194.2749
var94                 111905.2082
var95                   1460.2574
var96                           0
var97                1559436.6492
var98                           0
var99                 281565.1456
var100       7.134759892018258E12
var101                     0.3408
var102                          0
var103                      1.057
var104                      0.246
var105                    12.5406
var106                    62.5637
var107               1117169.5037
var108                     0.1316
var109                   317.1296
var110                          0
var111                     0.0003
var112                   901.5923


Time taken to build model: 0.32 seconds

=== Predictions on test data ===

inst#,    actual, predicted, error, probability distribution
     1        2:1        1:0      +  *0.961  0.039
     2        2:1        2:1          0.101 *0.899
     3        2:1        1:0      +  *0.947  0.053
     4        2:1        2:1          0.232 *0.768
     5        2:1        1:0      +  *0.55   0.45 
     6        2:1        1:0      +  *0.666  0.334
     7        2:1        2:1          0.282 *0.718
     8        2:1        2:1          0.142 *0.858
     9        2:1        2:1          0.438 *0.562
    10        2:1        2:1          0.036 *0.964
    11        2:1        1:0      +  *0.512  0.488
    12        2:1        2:1          0.407 *0.593
    13        2:1        2:1          0.072 *0.928
    14        2:1        2:1          0.275 *0.725
    15        2:1        1:0      +  *0.936  0.064
    16        2:1        2:1          0.013 *0.987
    17        2:1        2:1          0.011 *0.989
    18        2:1        2:1          0.306 *0.694
    19        2:1        2:1          0.158 *0.842
    20        2:1        2:1          0.304 *0.696
    21        2:1        2:1          0.145 *0.855
    22        2:1        2:1          0.492 *0.508
    23        2:1        2:1          0.026 *0.974
    24        2:1        2:1          0.123 *0.877
    25        2:1        1:0      +  *0.622  0.378
    26        2:1        1:0      +  *0.74   0.26 
    27        2:1        2:1          0.025 *0.975
    28        2:1        2:1          0.29  *0.71 
    29        2:1        2:1          0.013 *0.987
    30        2:1        1:0      +  *0.853  0.147
    31        1:0        1:0         *0.902  0.098
    32        1:0        2:1      +   0.479 *0.521
    33        1:0        1:0         *0.975  0.025
    34        1:0        2:1      +   0.15  *0.85 
    35        1:0        1:0         *0.882  0.118
    36        1:0        2:1      +   0.047 *0.953
    37        1:0        1:0         *0.902  0.098
    38        1:0        1:0         *0.808  0.192
    39        1:0        1:0         *0.89   0.11 
    40        1:0        1:0         *0.989  0.011
    41        1:0        2:1      +   0.458 *0.542
    42        1:0        1:0         *0.544  0.456
    43        1:0        1:0         *0.58   0.42 
    44        1:0        2:1      +   0.176 *0.824
