@relation classes_predicted

@attribute var1 numeric
@attribute var2 numeric
@attribute var3 numeric
@attribute var4 numeric
@attribute var5 numeric
@attribute var6 numeric
@attribute var7 numeric
@attribute var8 numeric
@attribute var9 numeric
@attribute var10 numeric
@attribute var11 numeric
@attribute var12 numeric
@attribute var13 numeric
@attribute var14 numeric
@attribute var15 numeric
@attribute var16 numeric
@attribute var17 numeric
@attribute var18 numeric
@attribute var19 numeric
@attribute var20 numeric
@attribute var21 numeric
@attribute var22 numeric
@attribute var23 numeric
@attribute var24 numeric
@attribute var25 numeric
@attribute var26 numeric
@attribute var27 numeric
@attribute var28 numeric
@attribute var29 numeric
@attribute var30 numeric
@attribute var31 numeric
@attribute var32 numeric
@attribute var33 numeric
@attribute var34 numeric
@attribute var35 numeric
@attribute var36 numeric
@attribute var37 numeric
@attribute var38 numeric
@attribute var39 numeric
@attribute var40 numeric
@attribute var41 numeric
@attribute var42 numeric
@attribute var43 numeric
@attribute var44 numeric
@attribute var45 numeric
@attribute var46 numeric
@attribute var47 numeric
@attribute var48 numeric
@attribute var49 numeric
@attribute var50 numeric
@attribute var51 numeric
@attribute var52 numeric
@attribute var53 numeric
@attribute var54 numeric
@attribute var55 numeric
@attribute var56 numeric
@attribute var57 numeric
@attribute var58 numeric
@attribute var59 numeric
@attribute var60 numeric
@attribute var61 numeric
@attribute var62 numeric
@attribute var63 numeric
@attribute var64 numeric
@attribute var65 numeric
@attribute var66 numeric
@attribute var67 numeric
@attribute var68 numeric
@attribute var69 numeric
@attribute var70 numeric
@attribute var71 numeric
@attribute var72 numeric
@attribute var73 numeric
@attribute var74 numeric
@attribute var75 numeric
@attribute var76 numeric
@attribute var77 numeric
@attribute var78 numeric
@attribute var79 numeric
@attribute var80 numeric
@attribute var81 numeric
@attribute var82 numeric
@attribute var83 numeric
@attribute var84 numeric
@attribute var85 numeric
@attribute var86 numeric
@attribute var87 numeric
@attribute var88 numeric
@attribute var89 numeric
@attribute var90 numeric
@attribute var91 numeric
@attribute var92 numeric
@attribute var93 numeric
@attribute var94 numeric
@attribute var95 numeric
@attribute var96 numeric
@attribute var97 numeric
@attribute var98 numeric
@attribute var99 numeric
@attribute var100 numeric
@attribute var101 numeric
@attribute var102 numeric
@attribute var103 numeric
@attribute var104 numeric
@attribute var105 numeric
@attribute var106 numeric
@attribute var107 numeric
@attribute var108 numeric
@attribute var109 numeric
@attribute var110 numeric
@attribute var111 numeric
@attribute var112 numeric
@attribute predictedclass {0,1}
@attribute class {0,1}

@data
1.017336,0.651258,0.999413,0.837708,0.741043,0.797288,0.404554,0.636957,0.529432,0.594346,0.484989,0.56375,0.161191,0.233456,0.827873,0.778962,1.105666,0.964862,1.109528,1.078599,1.110259,1.306881,0.985579,1.190613,1.038763,1.148163,1.501835,1.114869,1.022485,1.376722,0.99507,1.15404,0.67038,0.595582,0.854,0.597075,0.78982,0.930746,0.3577,0.809491,0.461993,0.879463,0.777378,0.507692,0.825424,0.419973,0.664213,0.461052,0.334555,0.253396,0.391125,0.281586,0.319878,0.449732,0.27496,0.261115,0.315795,0.272823,0.488379,0.282045,0.317062,0.407916,0.421714,0.465535,0.206644,0.217301,0.243789,0.239125,0.293211,0.278348,0.280117,0.366372,0.253993,0.307393,0.294654,0.170487,0.3299,0.233372,0.357997,0.337336,0.212166,0.238016,0.23726,0.274308,0.20901,0.279662,0.298498,0.229798,0.269818,0.24469,0.284791,0.255595,0.270881,0.283143,0.290448,0.327464,0.311827,0.248312,0.233404,0.286175,0.286526,0.315566,0.301783,0.273123,0.307621,0.226123,0.292467,0.28345,0.254826,0.264438,0.256533,0.274844,0,1
1.038078,0.275259,0.665218,0.134873,0.353201,0.378802,0.818827,0.498713,0.757399,0.60176,0.284171,0.804665,0.517702,0.659023,0.184985,0.516407,2.065067,1.755353,2.1797,2.055182,2.009488,2.932203,1.793855,1.792485,2.072766,2.410018,3.270351,2.012598,2.643093,2.704395,2.468602,2.534516,0.694879,0.707853,0.710115,0.753676,0.780022,0.861235,0.833814,0.956176,0.887093,0.964511,1.015714,0.827118,1.053871,1.004285,1.035804,0.967712,0.352685,0.402079,0.403508,0.528924,0.368768,0.556969,0.467421,0.413761,0.439111,0.497776,0.552925,0.447499,0.672295,0.668532,0.630979,0.706218,0.559648,0.47889,0.46276,0.533128,0.286385,0.280428,0.290884,0.29318,0.314703,0.333734,0.33448,0.32671,0.370242,0.334279,0.333322,0.35382,0.608487,0.556001,0.441746,0.503161,0.321876,0.328928,0.296217,0.279199,0.283745,0.328572,0.350812,0.358495,0.348119,0.338851,0.378273,0.389062,0.841784,0.649666,0.55575,0.607634,0.413832,0.431439,0.358512,0.43796,0.435621,0.355187,0.399357,0.398508,0.366576,0.39357,0.364229,0.408369,1,1
0.782213,0.920713,1.132648,1.036938,1.586848,1.568865,1.580691,1.887442,1.681641,1.936798,1.810854,1.888238,2.237927,1.998486,1.748165,2.290188,1.003297,0.908431,1.071366,1.060573,1.292581,1.356721,1.090619,1.577877,1.279483,1.627324,1.336701,1.22102,1.606361,1.620967,1.466914,1.810791,0.767846,0.594885,0.977641,0.737242,0.780888,0.927064,0.57185,0.805984,0.757044,0.958922,0.99954,0.845857,1.269869,1.329403,1.138068,1.294079,0.294348,0.323902,0.372325,0.387814,0.370251,0.485425,0.350542,0.370311,0.353383,0.430833,0.510778,0.348269,0.54473,0.409799,0.527389,0.465737,0.171177,0.20794,0.184841,0.194568,0.22464,0.249517,0.257519,0.291984,0.224728,0.329272,0.327828,0.262984,0.413662,0.298306,0.467948,0.32641,0.170229,0.180263,0.192703,0.189675,0.207144,0.19342,0.213334,0.242381,0.172857,0.197961,0.212561,0.20736,0.202775,0.210535,0.247288,0.270589,0.289502,0.230936,0.164052,0.25885,0.276529,0.297319,0.296368,0.299205,0.277304,0.214686,0.269534,0.29387,0.23827,0.233451,0.234504,0.243845,0,1
0.952907,0.584881,0.776273,0.797722,0.640316,0.597146,0.547103,0.741333,0.662074,0.499107,0.533577,0.717983,0.501433,0.774141,0.409246,0.403838,1.318857,1.292079,1.337977,1.549784,0.988184,1.605057,1.118025,0.667428,1.380269,0.853277,1.375845,1.386355,0.912585,1.494693,0.996102,1.089837,0.489118,0.538447,0.56891,0.671009,0.578415,1.017373,0.612739,0.502224,0.726745,0.59827,0.954892,0.672146,0.601873,0.746129,0.668376,0.699339,0.239854,0.255632,0.248472,0.323549,0.203428,0.36352,0.22734,0.185864,0.228451,0.306489,0.443359,0.265933,0.394964,0.343624,0.501779,0.482265,0.190269,0.127509,0.183841,0.151555,0.206075,0.159663,0.189894,0.25483,0.183616,0.213453,0.191187,0.246583,0.265009,0.267909,0.315169,0.297896,0.202666,0.184154,0.19782,0.190092,0.218153,0.216614,0.237503,0.298783,0.236469,0.223123,0.242215,0.233219,0.226035,0.245254,0.248574,0.268029,0.279027,0.217406,0.190465,0.241743,0.280391,0.27352,0.263716,0.323695,0.266915,0.203518,0.274553,0.234738,0.245784,0.273917,0.285433,0.313436,0,1
1.406774,0.882563,1.236432,1.095984,1.295395,1.110895,0.940607,1.419587,0.892539,1.30311,0.660908,0.967973,1.09757,0.626679,0.720037,0.621908,1.132232,1.2014,1.336591,1.130175,0.902783,1.72584,0.833526,0.779427,0.95034,1.02814,1.498345,0.880849,1.060223,1.075276,1.307096,0.946486,1.489022,1.499865,1.434743,1.151746,1.033993,1.206564,0.538246,1.009762,0.372555,0.979476,0.697769,0.345042,0.919156,0.524891,0.763464,0.708658,0.40551,0.448752,0.388175,0.441249,0.34744,0.46503,0.285017,0.365143,0.25068,0.421392,0.512185,0.272995,0.491856,0.33378,0.497952,0.343333,0.374511,0.423539,0.303338,0.283894,0.279297,0.324373,0.245054,0.290174,0.285407,0.330192,0.330745,0.29987,0.372431,0.348521,0.405321,0.378235,0.35712,0.323508,0.344253,0.372088,0.32222,0.353117,0.316684,0.320392,0.336108,0.32747,0.345832,0.330515,0.333823,0.334196,0.349472,0.326027,0.401746,0.376499,0.254396,0.306287,0.289818,0.302284,0.273296,0.287709,0.294587,0.225099,0.276716,0.25204,0.238436,0.271633,0.23411,0.259507,0,1
0.488886,0.147624,0.492707,0.447646,0.488844,1.390187,0.214498,0.488096,0.162253,0.574077,1.487604,0.538019,0.523055,0.659301,0.639973,0.684064,1.802742,1.939832,2.223528,2.381841,1.957505,3.875309,1.736782,1.801262,2.345944,2.620445,4.255801,2.30247,2.66562,2.998339,2.523586,2.88634,0.537452,0.633619,0.698222,0.74703,0.519152,1.095767,0.684787,0.47503,0.631064,0.648094,0.876123,0.608635,0.611385,0.672418,0.536636,0.571387,0.396431,0.365302,0.328476,0.39102,0.309407,0.401393,0.343616,0.339052,0.343219,0.327976,0.439888,0.351797,0.358509,0.436838,0.390165,0.393711,0.567237,0.495249,0.333011,0.404285,0.247063,0.266269,0.219388,0.279214,0.236476,0.340835,0.288335,0.246934,0.364034,0.280583,0.336778,0.304198,0.602751,0.602058,0.466945,0.560469,0.377845,0.405156,0.376392,0.372201,0.391244,0.394418,0.416804,0.361689,0.400662,0.417122,0.4176,0.447517,0.704831,0.539012,0.464194,0.466857,0.346607,0.381039,0.358546,0.359031,0.387762,0.300168,0.351336,0.350078,0.321163,0.361627,0.312725,0.335554,1,1
0.127918,0.38271,0.382471,0.461781,0.499611,0.252964,0.449409,0.439189,0.340276,0.358907,0.493715,0.273266,0.853679,0.8418,1.10806,1.223698,1.004685,0.816249,0.985892,0.921761,1.051957,1.277323,1.027334,1.054916,0.876753,1.024532,1.204355,0.89665,0.817828,1.118791,0.905176,1.074837,0.421316,0.683654,0.486003,0.749236,0.468337,0.87497,0.589229,0.498671,0.535423,0.572816,0.934461,0.531358,0.723704,0.824148,0.880505,0.814609,0.268905,0.338894,0.328075,0.414325,0.30484,0.501342,0.449882,0.339593,0.430693,0.43122,0.538682,0.415783,0.615781,0.498386,0.679191,0.580013,0.216857,0.157332,0.195349,0.188075,0.191069,0.227575,0.230611,0.291861,0.250209,0.267247,0.297063,0.266802,0.319427,0.295337,0.353522,0.359854,0.167347,0.166853,0.176603,0.161257,0.194841,0.186925,0.200492,0.225869,0.224649,0.205126,0.200396,0.257032,0.202681,0.240278,0.238298,0.224226,0.305049,0.215739,0.1608,0.254706,0.270494,0.281022,0.284657,0.291046,0.26941,0.206311,0.245702,0.262138,0.206376,0.241767,0.214013,0.260767,0,1
0.424594,0.471758,0.386151,0.571328,0.387657,0.722773,0.432603,0.815715,0.457139,0.385341,0.593205,0.44169,0.343374,0.317402,0.278069,0.280768,1.087428,1.177909,1.435405,1.423134,1.525488,1.822531,1.335406,1.455904,1.546324,1.763992,2.321194,1.727846,1.959585,1.949277,1.533784,1.718477,0.56921,0.405084,0.610456,0.393686,0.606725,0.65909,0.392574,0.573506,0.389545,0.615041,0.590857,0.396678,0.513518,0.45684,0.380546,0.53902,0.271133,0.295841,0.261582,0.341563,0.29129,0.424207,0.316152,0.36495,0.369735,0.439291,0.526541,0.377795,0.542055,0.503286,0.453418,0.518783,0.171741,0.20625,0.174102,0.183274,0.183894,0.220497,0.186628,0.270296,0.218029,0.247966,0.200428,0.230589,0.250533,0.304309,0.272615,0.373305,0.184043,0.167846,0.186772,0.181042,0.205683,0.189855,0.163023,0.23214,0.20275,0.225758,0.207837,0.183278,0.246745,0.189198,0.237229,0.232381,0.283851,0.233328,0.17671,0.265763,0.265458,0.289281,0.271305,0.275384,0.28464,0.209082,0.264462,0.26118,0.235169,0.26761,0.233668,0.298453,0,1
0.972916,0.979968,1.018138,1.354087,1.327176,1.746426,1.18052,1.374867,1.505549,1.482239,1.725116,1.511386,1.358946,1.370227,1.272194,1.119612,1.039137,1.066868,0.907443,1.243645,0.954832,1.380521,1.375745,0.894447,1.54438,0.945395,1.750054,1.384837,1.221188,1.687417,1.238735,1.440283,0.592833,0.491972,0.564395,0.506475,0.457056,0.541885,0.383628,0.481714,0.520529,0.456308,0.72525,0.592806,0.561466,0.79199,0.664645,0.775249,0.385747,0.346416,0.36924,0.349522,0.424459,0.384715,0.283985,0.503048,0.301605,0.461319,0.418315,0.304477,0.496734,0.420993,0.527858,0.491254,0.252023,0.246102,0.285773,0.258211,0.37314,0.358369,0.276524,0.468016,0.295734,0.364617,0.396657,0.290472,0.330591,0.352928,0.315597,0.338301,0.19418,0.192375,0.207615,0.192872,0.232403,0.227696,0.234572,0.289751,0.237244,0.237205,0.23567,0.268843,0.259804,0.241214,0.278408,0.270236,0.319052,0.266121,0.196854,0.276597,0.278275,0.299148,0.302378,0.306552,0.293462,0.216083,0.26817,0.281815,0.210799,0.248659,0.222126,0.26605,0,1
0.643087,0.664289,0.600001,0.660602,0.660471,0.85122,0.589324,0.566376,0.643763,0.695155,0.732796,0.511153,0.764824,0.558461,0.630054,0.545381,0.595783,0.785319,0.787821,0.834157,0.744912,1.010453,0.811928,0.685882,0.93004,0.855173,0.982616,0.991744,1.092421,1.123759,1.025773,0.978655,0.382821,0.459389,0.410464,0.44271,0.36585,0.535255,0.395575,0.388754,0.62338,0.418878,0.597115,0.545115,0.502156,0.614288,0.563111,0.626535,0.216904,0.212505,0.222038,0.270067,0.218917,0.320552,0.250413,0.20444,0.270743,0.321661,0.44643,0.274893,0.444115,0.432832,0.493102,0.488061,0.229291,0.25477,0.271117,0.267063,0.262524,0.337598,0.257683,0.266296,0.28983,0.261108,0.376721,0.285455,0.310178,0.352928,0.429529,0.419131,0.173188,0.158591,0.172039,0.16214,0.190256,0.201843,0.172241,0.25213,0.21557,0.192942,0.235188,0.247507,0.185211,0.221878,0.234989,0.219909,0.277617,0.202838,0.147244,0.233228,0.234158,0.268987,0.279614,0.250401,0.272549,0.191435,0.250103,0.285766,0.207728,0.22647,0.201611,0.246245,0,1
