@relation classes_predicted

@attribute var1 numeric
@attribute var2 numeric
@attribute var3 numeric
@attribute var4 numeric
@attribute var5 numeric
@attribute var6 numeric
@attribute var7 numeric
@attribute var8 numeric
@attribute var9 numeric
@attribute var10 numeric
@attribute var11 numeric
@attribute var12 numeric
@attribute var13 numeric
@attribute var14 numeric
@attribute var15 numeric
@attribute var16 numeric
@attribute var17 numeric
@attribute var18 numeric
@attribute var19 numeric
@attribute var20 numeric
@attribute var21 numeric
@attribute var22 numeric
@attribute var23 numeric
@attribute var24 numeric
@attribute var25 numeric
@attribute var26 numeric
@attribute var27 numeric
@attribute var28 numeric
@attribute var29 numeric
@attribute var30 numeric
@attribute var31 numeric
@attribute var32 numeric
@attribute var33 numeric
@attribute var34 numeric
@attribute var35 numeric
@attribute var36 numeric
@attribute var37 numeric
@attribute var38 numeric
@attribute var39 numeric
@attribute var40 numeric
@attribute var41 numeric
@attribute var42 numeric
@attribute var43 numeric
@attribute var44 numeric
@attribute var45 numeric
@attribute var46 numeric
@attribute var47 numeric
@attribute var48 numeric
@attribute var49 numeric
@attribute var50 numeric
@attribute var51 numeric
@attribute var52 numeric
@attribute var53 numeric
@attribute var54 numeric
@attribute var55 numeric
@attribute var56 numeric
@attribute var57 numeric
@attribute var58 numeric
@attribute var59 numeric
@attribute var60 numeric
@attribute var61 numeric
@attribute var62 numeric
@attribute var63 numeric
@attribute var64 numeric
@attribute var65 numeric
@attribute var66 numeric
@attribute var67 numeric
@attribute var68 numeric
@attribute var69 numeric
@attribute var70 numeric
@attribute var71 numeric
@attribute var72 numeric
@attribute var73 numeric
@attribute var74 numeric
@attribute var75 numeric
@attribute var76 numeric
@attribute var77 numeric
@attribute var78 numeric
@attribute var79 numeric
@attribute var80 numeric
@attribute var81 numeric
@attribute var82 numeric
@attribute var83 numeric
@attribute var84 numeric
@attribute var85 numeric
@attribute var86 numeric
@attribute var87 numeric
@attribute var88 numeric
@attribute var89 numeric
@attribute var90 numeric
@attribute var91 numeric
@attribute var92 numeric
@attribute var93 numeric
@attribute var94 numeric
@attribute var95 numeric
@attribute var96 numeric
@attribute var97 numeric
@attribute var98 numeric
@attribute var99 numeric
@attribute var100 numeric
@attribute var101 numeric
@attribute var102 numeric
@attribute var103 numeric
@attribute var104 numeric
@attribute var105 numeric
@attribute var106 numeric
@attribute var107 numeric
@attribute var108 numeric
@attribute var109 numeric
@attribute var110 numeric
@attribute var111 numeric
@attribute var112 numeric
@attribute predictedclass {0,1}
@attribute class {0,1}

@data
5.686565,5.640583,4.072255,4.217652,2.695202,2.527512,2.674643,1.700184,1.90394,1.575871,1.461942,1.827707,1.921088,1.811083,1.531731,1.498677,10.86244,11.17897,8.371481,8.449769,6.076825,5.687042,6.068963,4.887416,4.614242,4.517399,4.449362,4.140267,4.234762,3.52852,3.478337,3.113234,2.904209,2.812835,2.422291,2.597415,1.63149,2.356995,1.708854,1.237813,1.389626,1.17452,1.70775,1.353555,1.144716,1.294676,1.265786,1.571002,1.064641,0.994246,1.036288,1.029194,0.840754,1.414882,0.763376,0.824458,0.854052,0.945115,1.432623,0.998174,1.042623,1.05832,1.058191,1.43685,0.383371,0.428366,0.354501,0.44457,0.32624,0.433153,0.408837,0.337556,0.387939,0.368864,0.426031,0.381965,0.385885,0.382434,0.402414,0.434822,0.331236,0.372778,0.304246,0.354415,0.262798,0.347629,0.329146,0.278904,0.3489,0.287587,0.351987,0.345826,0.307473,0.338534,0.325283,0.334842,0.472253,0.471368,0.422286,0.385931,0.444019,0.433955,0.375915,0.425581,0.451309,0.428145,0.434391,0.453296,0.424588,0.465885,0.415931,0.411486,0,1
4.009485,3.808721,3.175999,3.50564,2.718037,2.668933,2.306581,2.590432,2.321318,2.502684,3.420374,2.482646,2.316742,2.421909,2.016577,2.39981,6.186483,5.858497,4.547601,4.21137,3.192499,2.893511,2.324997,2.750125,2.072218,2.544228,2.764191,2.187083,2.475338,2.396428,2.043706,2.252966,2.625616,2.855437,1.963102,2.169466,1.083149,2.022651,1.539572,1.09122,1.220501,1.439233,2.128111,1.277889,1.94959,1.590007,2.27239,2.102839,0.798251,0.892365,0.843915,1.016609,0.637527,1.145138,0.818555,0.821903,0.990027,1.008042,1.505629,1.131053,1.198257,1.186821,1.265457,1.231298,0.281105,0.333658,0.305616,0.31795,0.258953,0.395722,0.277959,0.246956,0.264737,0.260309,0.412665,0.320323,0.304402,0.419346,0.339742,0.457586,0.324131,0.301591,0.34017,0.293652,0.359597,0.385154,0.274058,0.346119,0.273969,0.358947,0.355225,0.279081,0.384495,0.288303,0.388593,0.341324,0.527619,0.53364,0.509491,0.428273,0.496536,0.490856,0.380734,0.466603,0.447458,0.452927,0.457766,0.452346,0.442148,0.483625,0.424552,0.430682,1,1
5.041356,5.277318,3.750571,3.346011,2.649517,2.370535,2.112416,2.013256,1.553713,1.820203,1.767295,1.261715,1.842675,1.311819,1.754787,1.594772,7.358802,7.44399,5.705766,5.811983,3.802848,4.12002,3.874987,2.848646,2.852945,2.427802,2.56023,2.40973,2.347402,2.09957,2.028812,1.734511,3.380359,3.320724,2.570593,2.657373,1.668252,1.961593,1.528573,1.232258,1.189685,1.005394,1.116718,1.131795,1.063251,1.189381,1.24953,1.329895,0.761136,0.71063,0.810588,0.642541,0.655521,0.867987,0.539258,0.721455,0.738675,0.9222,1.027705,0.932645,1.191569,1.139819,1.411091,1.415862,0.366107,0.380806,0.404036,0.333366,0.401083,0.429802,0.27025,0.410544,0.288087,0.423711,0.421471,0.330478,0.470965,0.384867,0.45492,0.497144,0.305411,0.319398,0.321731,0.302225,0.288414,0.35201,0.275781,0.305866,0.285646,0.304858,0.323572,0.291139,0.301572,0.277956,0.296622,0.25782,0.461851,0.470794,0.400696,0.373854,0.424012,0.402668,0.353292,0.409467,0.444949,0.409516,0.394751,0.426454,0.391941,0.441648,0.395246,0.394128,1,1
4.327294,4.817687,3.01636,3.056866,1.928869,2.002436,2.401064,1.236498,1.523554,0.889803,1.320425,1.359243,0.66727,1.218937,1.447573,1.485522,6.178843,6.79442,4.428847,4.624617,3.189042,2.911684,3.494517,2.73582,2.670177,2.711815,2.515601,2.679951,2.824827,2.889641,2.916924,3.245316,2.710148,2.58686,2.16335,1.765946,1.658338,1.697993,1.093884,1.276935,0.943965,1.114451,1.197671,1.033953,1.16743,1.282773,1.521206,1.67472,0.980013,0.977732,0.87036,0.922798,0.663101,1.205713,0.748851,0.767634,0.886813,0.947511,1.095488,1.057632,1.215621,1.270648,1.400955,1.497666,0.396409,0.384239,0.416164,0.341412,0.336191,0.432415,0.357527,0.328157,0.365343,0.333388,0.377988,0.339009,0.368179,0.400809,0.387058,0.443873,0.289618,0.315775,0.285791,0.333801,0.296438,0.328391,0.318893,0.269595,0.330082,0.28562,0.324735,0.33945,0.306344,0.367544,0.340294,0.361269,0.549008,0.566546,0.501908,0.438583,0.57923,0.515313,0.435057,0.523216,0.543191,0.5175,0.483914,0.530075,0.498945,0.591067,0.501877,0.49806,1,1
10.11975,9.544285,7.603617,7.413296,5.676295,5.259488,4.849683,4.84987,4.531197,4.178957,5.271856,4.38645,3.983947,4.067231,2.853266,2.628306,12.36514,11.87521,9.231118,8.717812,6.943442,6.228639,6.017487,5.934262,4.928905,5.699473,5.654522,4.871949,5.439385,4.760197,4.536155,4.130322,3.054484,3.152639,2.444995,2.745304,1.690487,2.250946,1.697986,1.316308,1.266237,1.209282,1.554614,1.155923,1.365332,1.248984,1.700199,1.516342,0.807323,0.980877,0.820997,1.013295,0.781008,1.078652,0.776275,0.919025,1.041472,1.255303,1.912995,1.351175,1.656962,1.633676,1.974283,2.143434,0.427039,0.399788,0.400637,0.411801,0.390346,0.439804,0.318898,0.405232,0.344624,0.482543,0.405258,0.403369,0.577385,0.47547,0.625703,0.62848,0.375518,0.373313,0.322919,0.382224,0.295274,0.364199,0.360342,0.292318,0.358794,0.317247,0.345829,0.350687,0.334921,0.359699,0.34511,0.391081,0.429953,0.430874,0.38846,0.338532,0.41195,0.384682,0.332499,0.376123,0.375911,0.365387,0.387716,0.381652,0.360779,0.395667,0.346459,0.345665,0,1
0.848786,1.375552,0.667266,1.002269,1.063807,1.24175,1.368093,1.200847,0.885807,1.69782,1.346685,1.147851,1.50527,1.131165,1.481784,1.671041,0.879624,0.735164,0.822224,1.196365,0.636596,1.462987,1.089905,0.770792,1.285573,0.958471,1.597047,1.468714,1.215661,1.619881,1.386661,1.786703,0.629809,0.53439,0.703386,0.649359,0.559945,0.944695,0.747024,0.674909,0.878946,0.81039,1.124302,1.033735,1.082251,1.176607,1.241696,1.245544,0.676079,0.640829,0.783059,0.656675,0.604547,0.962664,0.57268,0.589377,0.592331,0.675573,0.862899,0.655027,0.791833,0.76725,0.902064,0.986759,0.372221,0.400359,0.385645,0.441141,0.351119,0.390357,0.425254,0.332256,0.404853,0.333655,0.389869,0.400259,0.316131,0.434348,0.29912,0.450365,0.451681,0.421331,0.440558,0.457705,0.442322,0.453626,0.451188,0.414782,0.438315,0.412428,0.438896,0.455479,0.39348,0.441519,0.410017,0.44955,0.594114,0.608873,0.544892,0.51187,0.59907,0.597788,0.531166,0.585252,0.597347,0.578448,0.566825,0.580357,0.572272,0.641341,0.576056,0.540449,1,1
0.142868,1.172674,0.279631,0.723478,0.349095,0.68709,0.422356,0.189287,0.416359,0.337178,1.378938,0.719636,0.574202,0.996716,0.477553,0.703627,0.917116,1.200113,1.000488,0.937356,0.77152,1.144747,0.908377,1.190796,1.039807,1.425296,1.922588,1.326452,1.728429,1.824394,1.524223,2.033838,1.386797,1.364665,1.224708,1.445326,0.733027,1.473608,0.903788,0.724279,0.794296,0.769936,0.791827,0.74392,0.854816,0.860442,1.275137,1.506923,0.509514,0.57276,0.484976,0.597926,0.514303,0.780167,0.489857,0.549325,0.589724,0.626151,0.859691,0.644963,0.883568,0.845196,1.22912,1.189139,0.358666,0.338902,0.392246,0.352239,0.349455,0.512083,0.38031,0.338422,0.334341,0.388484,0.548273,0.35825,0.419389,0.40455,0.492136,0.515698,0.276643,0.261236,0.29639,0.293384,0.353105,0.423826,0.329251,0.319839,0.371253,0.316586,0.344779,0.333274,0.301376,0.320318,0.31026,0.338631,0.530175,0.531765,0.481637,0.442212,0.657916,0.534684,0.477707,0.575748,0.584416,0.524956,0.497956,0.575635,0.504299,0.623737,0.507356,0.519279,1,1
2.804859,2.708411,2.088071,1.494642,1.460524,1.514086,1.183411,1.133132,1.242775,1.14986,1.002365,1.018429,1.276905,0.881969,1.443085,1.055232,3.455306,3.815889,2.364974,2.8081,1.318042,1.808278,1.934669,1.311179,1.810088,1.45415,1.688442,1.904114,1.856182,1.940006,2.120008,1.912258,1.676878,1.389817,1.48921,1.343892,1.121271,1.473911,1.004042,1.107316,0.930178,1.178232,1.431643,0.970271,1.142097,0.999902,0.872771,0.967153,0.633954,0.755355,0.66011,0.745638,0.632402,0.90293,0.623766,0.776268,0.734018,1.042696,1.439528,0.950578,1.277799,1.379976,1.477198,1.851314,0.411656,0.376956,0.459494,0.418642,0.372157,0.520843,0.374738,0.381278,0.391374,0.472206,0.474721,0.391432,0.54471,0.465819,0.540969,0.583236,0.306697,0.33466,0.318852,0.32649,0.330325,0.359902,0.288558,0.336897,0.296476,0.368915,0.361419,0.321173,0.374461,0.321538,0.3552,0.353817,0.595165,0.590089,0.553473,0.490862,0.580999,0.558811,0.462239,0.567784,0.546145,0.550134,0.532621,0.530206,0.538922,0.585801,0.533617,0.514831,1,1
4.962061,5.439717,4.669425,4.035774,2.840375,3.951571,3.330222,2.498866,2.509343,2.48588,3.123918,2.562403,2.499716,2.458774,1.975186,1.973879,7.46534,7.907797,5.493687,6.738004,3.929511,4.78037,4.633292,3.293795,3.68088,3.289103,4.486915,3.62468,3.323166,3.268735,3.018093,2.680565,2.92322,2.512673,2.405055,1.853627,1.795834,1.571187,1.260572,1.351536,0.932199,1.005303,1.011673,0.886588,0.949912,0.986988,1.005783,0.963772,0.743045,0.618095,0.736041,0.594809,0.651542,0.966503,0.465308,0.832795,0.639743,1.254827,1.318823,0.874495,1.824749,1.446713,2.459358,2.357982,0.432648,0.43586,0.438753,0.44733,0.376896,0.473268,0.37126,0.348362,0.337264,0.369679,0.438972,0.351004,0.412939,0.378703,0.42593,0.453734,0.41288,0.389227,0.431275,0.416957,0.434926,0.506646,0.42256,0.430773,0.430073,0.448929,0.494417,0.446244,0.486527,0.447939,0.474405,0.478671,0.540655,0.537583,0.488531,0.443265,0.522524,0.492717,0.43848,0.493819,0.520158,0.48643,0.477735,0.503411,0.490968,0.55606,0.500604,0.466574,0,1
2.4904,2.361568,1.656469,1.538786,1.349007,1.864378,1.381233,1.322752,1.098375,1.278702,2.252373,1.361932,1.62643,1.665293,1.978372,2.328431,8.487986,9.234973,6.110837,6.705086,4.179762,4.603024,4.553998,3.529379,3.391723,2.99072,3.301984,3.396996,2.855509,3.238383,2.514764,2.900902,3.104446,3.293004,2.346617,2.382376,1.782977,1.967657,1.612406,1.364809,1.370319,1.29718,1.798524,1.264825,1.3786,1.336494,1.442655,1.416853,1.006233,0.943025,0.932374,0.819625,0.986367,1.196935,0.829613,0.976192,1.051128,1.066108,1.005029,1.157134,1.146333,1.190137,0.994549,1.121535,0.328781,0.350634,0.366456,0.346492,0.321054,0.522874,0.359207,0.340713,0.387839,0.387661,0.582319,0.436342,0.463471,0.434083,0.489662,0.466687,0.326396,0.306733,0.356714,0.317562,0.408533,0.461492,0.315707,0.386415,0.346277,0.396505,0.481065,0.348169,0.397983,0.382561,0.414949,0.438951,0.632963,0.64244,0.608873,0.536433,0.696993,0.605119,0.50769,0.600545,0.588156,0.580303,0.581255,0.575912,0.584299,0.645062,0.570946,0.569751,0,1
