@relation classes_predicted

@attribute var1 numeric
@attribute var2 numeric
@attribute var3 numeric
@attribute var4 numeric
@attribute var5 numeric
@attribute var6 numeric
@attribute var7 numeric
@attribute var8 numeric
@attribute var9 numeric
@attribute var10 numeric
@attribute var11 numeric
@attribute var12 numeric
@attribute var13 numeric
@attribute var14 numeric
@attribute var15 numeric
@attribute var16 numeric
@attribute var17 numeric
@attribute var18 numeric
@attribute var19 numeric
@attribute var20 numeric
@attribute var21 numeric
@attribute var22 numeric
@attribute var23 numeric
@attribute var24 numeric
@attribute var25 numeric
@attribute var26 numeric
@attribute var27 numeric
@attribute var28 numeric
@attribute var29 numeric
@attribute var30 numeric
@attribute var31 numeric
@attribute var32 numeric
@attribute var33 numeric
@attribute var34 numeric
@attribute var35 numeric
@attribute var36 numeric
@attribute var37 numeric
@attribute var38 numeric
@attribute var39 numeric
@attribute var40 numeric
@attribute var41 numeric
@attribute var42 numeric
@attribute var43 numeric
@attribute var44 numeric
@attribute var45 numeric
@attribute var46 numeric
@attribute var47 numeric
@attribute var48 numeric
@attribute var49 numeric
@attribute var50 numeric
@attribute var51 numeric
@attribute var52 numeric
@attribute var53 numeric
@attribute var54 numeric
@attribute var55 numeric
@attribute var56 numeric
@attribute var57 numeric
@attribute var58 numeric
@attribute var59 numeric
@attribute var60 numeric
@attribute var61 numeric
@attribute var62 numeric
@attribute var63 numeric
@attribute var64 numeric
@attribute var65 numeric
@attribute var66 numeric
@attribute var67 numeric
@attribute var68 numeric
@attribute var69 numeric
@attribute var70 numeric
@attribute var71 numeric
@attribute var72 numeric
@attribute var73 numeric
@attribute var74 numeric
@attribute var75 numeric
@attribute var76 numeric
@attribute var77 numeric
@attribute var78 numeric
@attribute var79 numeric
@attribute var80 numeric
@attribute var81 numeric
@attribute var82 numeric
@attribute var83 numeric
@attribute var84 numeric
@attribute var85 numeric
@attribute var86 numeric
@attribute var87 numeric
@attribute var88 numeric
@attribute var89 numeric
@attribute var90 numeric
@attribute var91 numeric
@attribute var92 numeric
@attribute var93 numeric
@attribute var94 numeric
@attribute var95 numeric
@attribute var96 numeric
@attribute var97 numeric
@attribute var98 numeric
@attribute var99 numeric
@attribute var100 numeric
@attribute var101 numeric
@attribute var102 numeric
@attribute var103 numeric
@attribute var104 numeric
@attribute var105 numeric
@attribute var106 numeric
@attribute var107 numeric
@attribute var108 numeric
@attribute var109 numeric
@attribute var110 numeric
@attribute var111 numeric
@attribute var112 numeric
@attribute predictedclass {0,1}
@attribute class {0,1}

@data
1.183233,1.281453,0.988837,0.912183,0.881475,0.983482,1.136296,0.542593,1.279547,0.805705,1.356236,1.142911,0.609129,1.184657,0.691654,0.900655,0.996094,0.93011,1.090411,1.176563,1.102139,1.573059,1.494603,1.002625,1.276262,1.37724,1.652738,1.219952,1.478957,1.390551,1.780151,1.346274,0.809341,0.766753,0.745452,0.845184,0.527385,1.103635,0.888372,0.636186,1.141873,0.788953,1.319136,1.299994,0.949569,1.334153,1.048467,1.008445,0.740347,0.708264,0.796109,0.812875,0.911236,1.061999,1.024944,1.332613,1.41288,1.736065,1.920414,1.718864,1.932109,1.671345,1.581139,1.571112,0.343216,0.433863,0.373643,0.469133,0.447462,0.469285,0.37658,0.494698,0.423188,0.481049,0.541475,0.501962,0.436905,0.695112,0.482661,0.440843,0.329195,0.346889,0.337461,0.405294,0.346159,0.417871,0.352852,0.347932,0.35194,0.359599,0.387772,0.388663,0.369004,0.543596,0.45662,0.552143,0.356763,0.349032,0.310759,0.288595,0.311309,0.305475,0.2476,0.263769,0.281586,0.331385,0.321828,0.338187,0.348602,0.439428,0.417325,0.56319,0,1
0.508621,0.493843,0.44324,0.514959,0.471606,0.380999,0.34138,1.051434,0.322031,1.377646,1.246158,0.574223,1.779927,1.088187,1.77244,1.580666,0.628866,0.535668,0.640671,0.679762,0.844655,0.756807,0.602977,1.196003,0.941479,1.563352,1.370276,1.077068,1.904444,1.395341,2.032008,1.652084,0.647606,0.59715,0.575439,0.615446,0.63035,0.935068,0.602639,0.829108,0.766248,0.987273,1.414293,0.83806,1.10594,0.907857,0.893645,0.852606,0.717787,0.668548,0.963888,0.875152,1.481722,1.773744,1.180652,2.175957,1.796176,2.849561,4.400822,2.500269,3.519602,3.274498,2.990739,3.127019,0.526502,0.511919,0.603289,0.552083,0.623661,0.844231,0.554111,0.769064,0.736827,0.863433,1.453711,0.901842,1.004906,1.183623,0.979723,0.987723,0.294624,0.297738,0.293356,0.309293,0.267426,0.353524,0.264788,0.290995,0.279305,0.304335,0.435856,0.348629,0.315218,0.502292,0.3432,0.340564,0.406521,0.426263,0.385822,0.360784,0.328069,0.317931,0.292365,0.299227,0.294219,0.323685,0.325856,0.310477,0.335872,0.423518,0.372513,0.32704,0,1
0.648828,1.376231,0.500531,1.424581,0.496493,1.192587,1.696304,0.826003,2.193386,0.923749,0.995038,2.357429,0.862202,2.42848,1.242174,1.428237,1.420608,1.159854,1.458775,1.435797,1.634996,1.556977,1.617909,2.235621,2.480996,2.208183,1.655107,3.003366,2.484212,3.055228,2.2289,2.409676,1.052673,0.963688,1.147612,0.939889,0.968149,1.0711,0.936142,0.9797,1.01328,1.272719,1.079723,1.244064,1.491583,1.429482,1.127786,1.267915,0.900322,1.063225,1.009754,1.234901,1.155338,1.297128,1.363795,1.51863,1.57696,2.18467,2.844464,2.001759,3.316467,2.948948,3.779095,3.547485,0.407773,0.513575,0.499679,0.600958,0.584782,0.613206,0.6032,0.735387,0.727545,0.70246,0.871081,0.615464,0.830286,0.787788,0.99241,0.894881,0.275326,0.483856,0.31077,0.315242,0.347378,0.37713,0.431015,0.421824,0.433551,0.374727,0.420035,0.385344,0.333286,0.515951,0.401777,0.71871,0.343549,0.529538,0.309439,0.298338,0.319536,0.235826,0.311115,0.3499,0.363884,0.301784,0.239521,0.252473,0.268795,0.338003,0.27765,0.484144,1,1
1.521815,0.84029,0.718228,0.605137,0.56594,0.807752,1.067866,0.412382,1.327059,0.40159,0.768015,1.528995,0.600821,1.679736,1.386618,1.864634,4.05004,3.926525,3.16945,2.597759,2.100813,2.714441,1.850829,1.94819,2.043811,2.318795,2.785737,2.225276,2.714762,2.943115,2.876962,3.144452,1.561855,1.551197,1.333534,1.264294,1.1873,1.291075,0.871566,1.332075,0.970594,1.41696,1.14788,0.97853,1.591075,1.011804,1.636715,1.417221,0.842162,0.701875,0.936318,0.80861,1.062058,1.319301,1.061742,1.571372,1.698876,2.201157,3.155271,2.540749,3.081395,3.589157,4.040038,4.061615,0.395283,0.376887,0.449689,0.442922,0.429412,0.810936,0.327603,0.526062,0.401621,0.501744,0.905112,0.613938,0.528902,0.770549,0.617036,0.739433,0.276424,0.274907,0.295865,0.295596,0.280932,0.36995,0.274328,0.276745,0.275029,0.277222,0.291661,0.340075,0.266891,0.530527,0.385747,0.548552,0.409918,0.422575,0.368366,0.328568,0.327561,0.320703,0.294594,0.31668,0.303971,0.331593,0.341297,0.345557,0.357619,0.471684,0.432824,0.579426,1,1
0.922278,1.124673,0.431017,1.413981,0.419286,2.115085,2.22134,0.977758,2.133984,1.352723,2.439942,1.89599,1.594747,2.144596,1.513026,1.422791,4.596791,5.094351,3.492914,3.624337,2.658607,3.30819,3.401961,2.442411,2.771908,2.416056,3.468817,2.545988,2.158302,2.396347,1.561603,1.461671,1.716885,1.947863,1.357946,1.685331,1.002224,1.751219,1.62547,0.9386,1.594773,1.100872,1.716058,1.55012,1.907025,1.909823,2.526496,2.351635,0.765727,1.003973,0.678682,1.013841,0.676438,0.989152,1.035161,0.973537,1.123631,1.445547,1.304666,1.494045,2.121776,2.085965,2.422804,2.218408,0.45755,0.454871,0.51586,0.548472,0.477856,0.58641,0.494352,0.592786,0.525502,0.634591,0.723823,0.551148,0.693007,0.707763,0.716832,0.627479,0.341883,0.320371,0.361813,0.346807,0.371636,0.414512,0.414934,0.371866,0.40573,0.386758,0.452453,0.452517,0.410827,0.580465,0.459537,0.544686,0.391894,0.435004,0.384436,0.396247,0.315905,0.348762,0.435761,0.344641,0.334768,0.33355,0.371685,0.347837,0.34575,0.451239,0.425043,0.482522,0,1
1.782888,1.433436,2.572679,2.033858,3.29099,4.496813,2.798364,3.210039,3.43338,3.220274,4.529298,3.400902,2.75191,2.660845,1.873193,0.860631,1.40985,1.878741,1.387508,2.727381,1.33396,2.334826,2.598278,1.681119,2.910927,2.094954,3.203557,3.022034,2.387617,2.638074,2.492526,1.932881,1.387348,0.943175,1.554049,0.992367,1.462108,1.645645,1.075763,1.584902,1.280054,1.667373,1.72063,1.424276,1.857385,1.812936,1.718943,1.812387,1.595175,1.606446,1.793154,1.844877,1.713914,1.957049,1.79248,2.303201,2.15717,3.417318,3.031965,3.016314,4.886021,4.407576,6.102636,5.381473,0.516766,0.417809,0.687703,0.443366,0.624096,0.596044,0.370362,0.603595,0.544897,0.567561,0.904645,0.706994,0.683389,1.096175,0.753706,0.897584,0.209877,0.26369,0.225439,0.304166,0.251908,0.298423,0.310016,0.304155,0.338006,0.271818,0.318382,0.330253,0.289439,0.518132,0.409055,0.588502,0.335793,0.337286,0.291439,0.242072,0.251061,0.269418,0.270926,0.316865,0.300042,0.285848,0.278619,0.276418,0.295049,0.386936,0.313814,0.523557,0,1
0.960741,1.015075,0.918752,1.410644,0.644248,1.057449,1.099608,0.846843,0.94973,0.47009,1.2549,0.949184,0.176663,0.672449,0.419753,0.154289,0.968756,0.924205,0.94846,1.243218,1.323269,1.574396,1.154018,1.669073,1.535188,1.867609,1.803755,1.750024,1.876798,1.889307,1.773864,1.932657,0.707884,0.741362,0.741935,0.772093,0.671982,0.83736,0.557128,0.60665,0.508395,0.67014,0.803546,0.642266,0.840236,0.759715,0.742332,0.553532,0.912161,0.9746,1.087154,1.159917,1.155401,2.068476,1.116529,1.542429,1.344439,1.857715,3.881352,1.67649,2.199312,1.91384,2.413775,2.138184,0.423882,0.371921,0.556039,0.448274,0.653634,0.637211,0.376316,0.769576,0.415808,0.75384,0.833784,0.48461,0.68679,0.759692,0.58543,0.486144,0.427919,0.449297,0.408456,0.432736,0.383787,0.458344,0.462526,0.410697,0.45178,0.433546,0.499482,0.475929,0.44547,0.570126,0.447172,0.47256,0.385515,0.405987,0.369195,0.331991,0.286741,0.29777,0.272487,0.292546,0.291634,0.287149,0.293678,0.295821,0.281108,0.394985,0.268814,0.302743,1,1
1.65403,1.801372,1.010012,1.163318,0.27459,1.287862,1.18271,0.288779,0.496125,0.877455,2.091946,0.760062,1.519693,0.71145,2.308941,2.050473,2.877605,3.246624,1.835905,2.184034,1.269892,1.706667,1.476769,1.187442,0.866983,0.844477,1.119609,0.640362,1.033006,1.105197,2.144245,1.912756,1.299936,1.341615,1.183609,1.103626,0.923936,1.181543,0.959691,1.003725,1.034641,0.943353,1.288344,1.20616,0.978706,1.352032,1.023705,0.946382,0.970554,0.779727,1.223009,0.857891,1.595556,1.506762,0.827629,2.054079,1.198876,2.4051,3.314941,1.666705,2.669621,2.048083,2.471387,2.136186,0.389292,0.440311,0.43018,0.450451,0.466885,0.618565,0.42845,0.536675,0.596606,0.526984,0.848355,0.772384,0.589861,0.958294,0.61831,0.652634,0.368513,0.362842,0.391668,0.372414,0.429623,0.436965,0.396157,0.447022,0.438164,0.474721,0.521148,0.459332,0.479887,0.554586,0.485011,0.493807,0.36489,0.39471,0.351529,0.333339,0.267615,0.281926,0.263568,0.276022,0.281918,0.273624,0.352363,0.315269,0.273371,0.443428,0.305408,0.355568,1,1
2.099113,4.461503,1.66104,4.394669,1.420945,2.50071,5.92561,2.152964,5.202182,2.92239,3.691431,4.764966,3.846696,4.762666,5.308241,5.294147,4.591415,4.886829,3.879223,3.707492,3.40042,2.518461,4.154088,3.407059,3.197267,3.340334,2.802054,2.815159,3.766969,3.166614,3.817093,3.617122,1.887114,2.440789,1.428962,1.896269,1.178291,1.142085,1.562083,1.311595,1.438979,1.534819,1.871055,1.661207,1.853674,1.953385,1.773314,1.991694,0.78286,0.741433,0.871805,0.832736,1.098677,0.963292,1.188563,1.574826,1.808367,2.072043,2.954055,2.493657,2.582796,3.204111,2.368562,2.776365,0.427355,0.509892,0.480985,0.587851,0.560278,0.565715,0.594627,0.740854,0.709055,0.778435,0.78254,0.744001,0.812746,1.025496,0.809182,0.851804,0.39121,0.494781,0.416055,0.454262,0.418601,0.459896,0.483279,0.500548,0.580762,0.467144,0.513549,0.552386,0.502258,0.701764,0.632494,0.634213,0.39709,0.440533,0.386033,0.373877,0.353942,0.358862,0.340666,0.356729,0.393749,0.334262,0.377073,0.373532,0.361674,0.49494,0.444549,0.494137,0,1
0.322319,0.649577,0.504621,0.930912,0.591245,2.129371,0.373294,0.295659,0.957019,1.793939,3.100062,1.248125,2.538702,1.761528,2.919745,2.04973,1.46284,1.432039,1.668398,1.336028,1.483052,2.225449,1.096988,1.359079,1.278626,1.392162,1.862985,1.381267,1.556725,1.509694,1.55401,1.488493,0.734365,0.758485,0.852591,0.769939,0.892452,1.059047,0.667826,1.126463,0.766166,1.02935,1.037964,0.975452,1.193788,1.097938,1.08509,0.877522,0.579258,0.887182,0.65639,0.767944,0.710475,0.805129,0.769234,0.773242,0.94665,0.766577,0.86866,1.047063,0.863997,1.419998,1.054847,1.35547,0.333816,0.552323,0.328841,0.637837,0.33028,0.323576,0.410537,0.455923,0.629397,0.425423,0.380023,0.497119,0.419801,0.835512,0.483251,0.511694,0.453041,0.790823,0.469925,0.757836,0.391389,0.331428,0.421601,0.452447,0.490145,0.376414,0.344913,0.331928,0.361438,0.452518,0.405007,0.285864,0.439652,0.909081,0.408026,0.487438,0.287022,0.246967,0.307418,0.330351,0.415916,0.287362,0.271507,0.254533,0.261265,0.365746,0.315005,0.257014,0,1
