=== Run information ===

Scheme:weka.classifiers.functions.Logistic -R 1.0E-8 -M -1
Relation:     classes
Instances:    597
Attributes:   113
[list of attributes omitted]
Test mode:10-fold cross-validation

=== Classifier model (full training set) ===

Logistic Regression with ridge parameter of 1.0E-8
Coefficients...
                            Class
Variable                        0
=================================
var1                      -0.8977
var2                       0.6637
var3                       1.0894
var4                      -0.1334
var5                      -0.3814
var6                       -0.163
var7                      -0.1707
var8                       0.0212
var9                      -0.5696
var10                      1.0105
var11                      -0.248
var12                     -0.2616
var13                     -0.7603
var14                      0.1713
var15                      0.1363
var16                      0.5546
var17                     -0.1915
var18                      0.8856
var19                     -1.1226
var20                     -0.2419
var21                      1.8543
var22                     -0.2159
var23                     -0.8565
var24                     -0.8079
var25                      1.7835
var26                     -0.7009
var27                      0.4733
var28                     -1.9551
var29                      0.5742
var30                      1.7259
var31                      0.0897
var32                     -1.4606
var33                     -2.8882
var34                      0.5456
var35                      3.6614
var36                     -0.4974
var37                     -0.9309
var38                     -0.3702
var39                     -0.3215
var40                      0.8215
var41                      2.1311
var42                     -1.1557
var43                     -0.8274
var44                      -1.165
var45                      0.6752
var46                      0.5669
var47                      -0.127
var48                      0.0379
var49                      1.8146
var50                     -5.8467
var51                      -1.226
var52                      4.1128
var53                     -0.4128
var54                     -0.6334
var55                     -1.9999
var56                     -2.3217
var57                       6.522
var58                      2.9707
var59                      0.7597
var60                     -5.0185
var61                     -1.9649
var62                      1.3637
var63                      0.8844
var64                     -0.4102
var65                       2.194
var66                     -2.2901
var67                      2.3404
var68                      2.6953
var69                      5.6051
var70                     -4.6567
var71                      3.0273
var72                    -11.3972
var73                      2.8217
var74                     -0.1314
var75                       0.905
var76                      3.0672
var77                      3.6339
var78                     -3.1448
var79                     -2.8274
var80                      1.7099
var81                      3.2707
var82                      0.3686
var83                      1.1341
var84                     -6.6782
var85                      -9.518
var86                     10.3348
var87                      5.3152
var88                     -6.4246
var89                     -5.2425
var90                     17.2735
var91                     -2.1046
var92                    -11.4286
var93                     -9.8855
var94                      9.1983
var95                      2.1816
var96                     -2.3462
var97                     -9.5757
var98                       1.582
var99                      1.8144
var100                     7.7744
var101                     5.0917
var102                    -7.5654
var103                    -7.9231
var104                    -3.0276
var105                       7.23
var106                    32.8475
var107                     -4.783
var108                     0.7755
var109                   -31.0887
var110                     4.7949
var111                    11.6568
var112                    -3.3924
Intercept                 -1.3961


Odds Ratios...
                            Class
Variable                        0
=================================
var1                       0.4075
var2                       1.9419
var3                       2.9725
var4                       0.8751
var5                       0.6829
var6                       0.8496
var7                       0.8431
var8                       1.0214
var9                       0.5658
var10                      2.7469
var11                      0.7804
var12                      0.7698
var13                      0.4675
var14                      1.1869
var15                       1.146
var16                      1.7413
var17                      0.8257
var18                      2.4245
var19                      0.3254
var20                      0.7851
var21                      6.3869
var22                      0.8058
var23                      0.4247
var24                      0.4458
var25                      5.9504
var26                      0.4962
var27                      1.6053
var28                      0.1415
var29                      1.7758
var30                      5.6178
var31                      1.0938
var32                      0.2321
var33                      0.0557
var34                      1.7256
var35                     38.9168
var36                      0.6081
var37                      0.3942
var38                      0.6906
var39                      0.7251
var40                      2.2739
var41                      8.4242
var42                      0.3149
var43                      0.4372
var44                      0.3119
var45                      1.9643
var46                      1.7628
var47                      0.8807
var48                      1.0387
var49                      6.1385
var50                      0.0029
var51                      0.2935
var52                     61.1201
var53                      0.6618
var54                      0.5308
var55                      0.1353
var56                      0.0981
var57                    679.9343
var58                     19.5052
var59                      2.1376
var60                      0.0066
var61                      0.1402
var62                      3.9107
var63                      2.4216
var64                      0.6635
var65                      8.9708
var66                      0.1013
var67                     10.3853
var68                       14.81
var69                    271.7983
var70                      0.0095
var71                      20.642
var72                           0
var73                     16.8062
var74                      0.8768
var75                      2.4719
var76                     21.4812
var77                     37.8603
var78                      0.0431
var79                      0.0592
var80                      5.5282
var81                      26.331
var82                      1.4457
var83                      3.1085
var84                      0.0013
var85                      0.0001
var86                  30786.5501
var87                     203.407
var88                      0.0016
var89                      0.0053
var90               31751809.6486
var91                      0.1219
var92                           0
var93                      0.0001
var94                    9880.542
var95                      8.8601
var96                      0.0957
var97                      0.0001
var98                      4.8647
var99                      6.1376
var100                   2378.917
var101                   162.6728
var102                     0.0005
var103                     0.0004
var104                     0.0484
var105                  1380.2163
var106       1.842839162203101E14
var107                     0.0084
var108                     2.1717
var109                          0
var110                   120.8921
var111                115474.5314
var112                     0.0336


Time taken to build model: 0.12 seconds

=== Predictions on test data ===

inst#,    actual, predicted, error, probability distribution
     1        2:1        1:0      +  *0.514  0.486
     2        2:1        1:0      +  *0.942  0.058
     3        2:1        1:0      +  *0.95   0.05 
     4        2:1        1:0      +  *0.568  0.432
     5        2:1        2:1          0.418 *0.582
     6        2:1        2:1          0.106 *0.894
     7        2:1        2:1          0.134 *0.866
     8        2:1        2:1          0.303 *0.697
     9        2:1        2:1          0.163 *0.837
    10        2:1        1:0      +  *0.934  0.066
    11        2:1        1:0      +  *0.991  0.009
    12        2:1        2:1          0.042 *0.958
    13        2:1        1:0      +  *0.609  0.391
    14        2:1        2:1          0.1   *0.9  
    15        2:1        2:1          0.392 *0.608
    16        2:1        2:1          0.183 *0.817
    17        2:1        2:1          0.477 *0.523
    18        2:1        2:1          0.228 *0.772
    19        2:1        1:0      +  *0.528  0.472
    20        2:1        2:1          0.048 *0.952
    21        2:1        1:0      +  *0.767  0.233
    22        2:1        1:0      +  *0.78   0.22 
    23        2:1        1:0      +  *0.732  0.268
    24        2:1        2:1          0.248 *0.752
    25        2:1        2:1          0.232 *0.768
    26        2:1        1:0      +  *0.584  0.416
    27        2:1        2:1          0.081 *0.919
    28        2:1        1:0      +  *0.914  0.086
    29        2:1        2:1          0.059 *0.941
    30        2:1        1:0      +  *0.973  0.027
    31        1:0        1:0         *0.958  0.042
    32        1:0        1:0         *0.978  0.022
    33        1:0        1:0         *0.995  0.005
    34        1:0        1:0         *0.953  0.047
    35        1:0        1:0         *0.933  0.067
    36        1:0        2:1      +   0.136 *0.864
    37        1:0        2:1      +   0.036 *0.964
    38        1:0        1:0         *0.946  0.054
    39        1:0        2:1      +   0.413 *0.587
    40        1:0        2:1      +   0.458 *0.542
    41        1:0        1:0         *0.918  0.082
    42        1:0        2:1      +   0.089 *0.911
    43        1:0        2:1      +   0.495 *0.505
